Diffusion_name,Territoire,Type,Type d'intervenant.e,Permanents,Bénévoles,Nb de pros,Contact(s) lié(s),Nb de bénéficiaires,Date,Compte-rendu,Prochaines étapes,Retour ?,Fiches,Organisme (from Fiches),Photos,Personne à informer de ce CR
Conférence plan pauvreté PACA,06,Présentation publique,Salarié.e,Servane Baron,,17.0,,,16/9/2021,"Présentation du Soliguide dans le cadre d'un atelier relatif aux outils numérique comme facilitant l'insertion ou la connaissance entre acteurs. 
Cela a permis de mettre en exergue qu'il y avait énormément d'actions  sur le territoire PACA mais qu'il fallait rationaliser tout cela. 
Présence de Monsieur FOFANA, directeur de l'IESTS et de Madame Guilhot, directrice caf 06. 
Rencontre avec des association dont certaines du 06 déjà connues ainsi que l'ADIE, qui propose des actions de micro crédit pour les jeunes pour qu'ils lancent leurs entreprises ==> Voir comment cartographier cela car ils ont des permanences sur tout le territoire. 
Soliguide a bien été défendu et nous avons pu mettre en avant l'outil, notamment auprès de la commissaire (lutte contre la pauvreté).
Impact : bof",,Retour positif,,,,
Sensibilisation centre de santé achères,78,Rencontre structure,Salarié.e,Charlotte Camard,,1.0,Delphine Rouaud,0.0,17/9/2021,Présentation de soliguide et du centre de santé,"- envoi invitation compte pro
- proposition présentation auprès des médecins",,Centre de Santé de Achères,Groupe LNA Santé,,
Intervention RDV Bimestriel Directeurs / Sinacté,77,Rendez-vous,Salarié.e,Jeanne Ovart,,10.0,Asadé PINOCHET,0.0,17/9/2021,"Contexte : Suite à des échanges avec Sylvaine Borniche, Soliguide 77 a été invité à présenter l'outil lors d'un réunion bimensuelle rassemblant les directeurs Sinacté.

Noëlène étant en vacances, j'ai présenté Soliguide à sa place.

J'ai pu présenté l'outil à 10 participants (certains ont eu des empêchements) et toutes les formations que nous proposons (bénéficiaires, acteurs...) en précisant bien de contacter Noëlène.

J'ai eu quelques questions sur l'historique et l'organisation interne de Solinum (financements, qui est à l'origine du projet...). Et, la question la plus importante, comment se référencer, je les ai invité à prendre les contacts de Noëlène afin de pouvoir créer ensemble une fiche (une des participantes ayant déjà été en contact avec nous et ayant déjà créé une fiche pour une entreprise d'insertion) a insisté sur la facilité et l'accompagnement à la création de la fiche.","'-Envoyer affiche en format PDF à la boucle de mails
-Apporter des affiches à chaque antenne (en fonction des déplacements de Noëlène)
-Faire référencer l'ensemble des structures Sinacté dans le Soliguide 77",Retour positif,Sinacté Meaux,Sinacté Meaux,,
RDV avec Pharma Solidaires,44,Rencontre structure,"Salarié.e,Service civique","Gian Barboni,Solinum Loire-Atlantique",,2.0,"""Christine Deklerck Pharma Solidaire - Antenne de Nantes, coordinatrice locale "",Chantal GONZE ",0.0,17/9/2021,"Rencontre avec les coordinatrices de l'antenne Nantaise. Présentation de Solinum et de ses actions (Soliguide et MPLI) ainsi qu'un échange sur leur association (but et actions). Mise à jour de la fiche brouillon et validation des informations. Création d'un compte pro en cours. 
Mme Deklerck nous a gentiment proposé ses contacts à Ouest France ainsi que chez Presse Océan, et nous a demandé si nous pouvions l'aider dans sa recherche d'un local. 
Semblent être des partenaires très engagées, super agréables. Contact à garder ! ",Rester en contact pour s'entraider,,Pharma Solidaires - Nantes,Pharma Solidaires,,
RDV Association Culturelle Turque de Nantes,44,Rencontre structure,"Salarié.e,Service civique","Gian Barboni,Solinum Loire-Atlantique",,1.0,Mr ALTUNTAS,,17/9/2021,"Nous avons été très chaleureusement accueillis par Monsieur Altuntas, secrétaire de l'association. Nous lui avons présenté Soliguide, il nous a présenté son asso, création et mise à jour de sa fiche. Il nous a ensuite fait visiter l'association (salles de classe, café, mosquée). 


",Lui envoyer son accès compte professionnel (bug lors du RDV),,Association Culturelle Turque de Nantes (ACTN),Association Culturelle Turque de Nantes (ACTN),20210917_113859_03.jpg (https://dl.airtable.com/.attachments/8b378a1e868d702c95308b99de4629aa/7de4e694/20210917_113859_03.jpg),
Permanence d'orientation - Halte de jour Secours Catholique,33,Permanence,"Service civique,Bénévole",Solinum Gironde,Angele RIANT,0.0,,5.0,17/9/2021,"Permanence d'orientation avec Siurana et Angèle (bénévole) 
Nous avons rencontré un premier Monsieur qui connaissait très bien Soliguide, il avait l'app sur son portable (avant de le perdre) et a pris les fiches papier, il nous a remercié et nous a dit être très content du Soliguide. Il cherchait des vêtements gratuits donc nous l'avons orienté vers des structures. Nous avons aussi échangé autour du pass sanitaire, il nous expliquait qu'il y a une structure où il avait l'habitude d'aller (stop misère il me semble?) qui maintenant exige le pass sanitaire et donc il ne peut plus s'y rendre pour le moment. Il nous disait que ce serait bien que l'on puisse indiquer quelles structures exigent le pass sanitaire ou non. 
Ensuite nous avons longuement discuté avec un Monsieur qui nous a expliqué sa situation, nous n'avons pas vraiment pu l'orienter car la seule chose qu'il souhaitait était de trouver un logement mais il avait l'air d'avoir vraiment besoin de parler et d'être content qu'on l'écoute. 
Nous avons ensuite discuté avec un groupe de jeunes qui parlaient Arabe, qui cherchaient aussi des vêtements. J'ai essayé de les orienter comme je pouvais mais avec la barrière de langue c'était compliqué. Une fois leur portables chargés ils ont pu télécharger l'app et la traduire en Arabe, ils nous ont remerciés. 
Nous avons eu quelques autres échanges informels avec des personnes mais qui n'étaient pas intéressées par le Soliguide, ces personnes étaient en demande de logement et cela rompt parfois le dialogue lorsqu'on leur explique qu'on ne peut pas les orienter pour tout ce qui concerne le logement.. 
Nous avons remarqué que les dons de vêtements sont apparemment un gros besoin, quasiment toutes les personnes que nous avons orientés aujourd'hui était pour de l'aide vestimentaire. Plusieurs se sont plains qu'il y avait peu d'assos à Bordeaux qui donnent des vêtements gratuitement.",,,Secours Catholique Halte de jour,Secours Catholique Caritas France Gironde,,
RDV Ville/CCAS de Villiers sur Marne,94,Réunion de service,Salarié.e,Suzanne Danvin,,7.0,"Bérénice DELASSUS,Virginie PFEILER",0.0,17/9/2021,"Présentation de Soliguide à l'équipe du CCAS de Villiers, en présentiel (1h15)
Présents : 1 assistante admin + 3 AS + 1 agent social + 1 agent d'accueil. La responsable du CCAS était retenue à une réunion ; je l'ai rencontrée en fin de présentation, elle semblait très enthousiaste et m'a proposé de prévoir un point.

Présentation Soliguide & démo + Q/R :
- Questions sur les stats de connexion : peut on savoir si ce sont des pro ou des bénéficiaires qui se connectent
- Remarque sur l'accessibilité pour les personnes qui n'ont pas de smartphone/internet ou qui ne savent pas lire
- Questions sur la MAJ des infos : ont vu des informations qui les ont surprises sur la fiche de L'Escale
- Une personne indique qu'elle ne voit pas la valeur ajoutée de Soliguide par rapport à Google dans son travail au quotidien (apparemment, elle trouve tout ce dont elle a besoin sur Google). Mais indique que l'outil peut être utile aux bénéficiaires
- Une personne me parle de l'appli de la ville, qui recense les assos LOL
- Questions sur la sectorisation (publics accueillis)
> Il n'y avait pas de responsable lors de cette présentation, et les personnes présentes n'ont pas vraiment accroché à Soliguide et ont plutôt essayer de trouver des défauts à droite à gauche...
> J'ai rencontré Mme Delassus ensuite et elle semblait vraiment intéressée par l'outil, et ne semblait pas vraiment surprise que les AS n'aient pas vraiment accroché (réticence au chgt ?). M'a indiqué qu'il serait pertinent d'imaginer des actions terrain avec les points France Services.","'- Envoyer support de présentation à B. Delassus
- Envoyer liens fiches + lien compte pro + tutoriel
- Proposer RDV pour approfondir sujets (sensi bénéf / actions Villiers)
- Contacter G. Mazzella pour organiser des actions avec les points France Services",,CCAS de Villiers-sur-Marne,Mairie de Villiers-sur-Marne,,
Sensi pro Espace Insertion Gennevilliers,92,Réunion de service,Salarié.e,Ségolène Robert,,6.0,Dominique Deret,0.0,17/9/2021,"(sr) Présentation à l'équipe de conseillers du Soliguide (accueil, ts, conseillers insertion, conseillère PLI)
Ils sont très intéressés par MPLI car pour l'instant ne travaillent qu'avec l'Escale
Ils me parlent de structures qui ne sont pas référencées : Victor Sigalene, la fabrica (vêtements), les femmes relais. Et me font part d'une correction à faire sur le RESF clichy.
L'équipe a l'air de bien prendre en main l'outil Soliguide et l'apprécie beaucoup, elle le trouve bien fait et trouve que le système de màj est très bien. 
Ils avaient aussi essayer de créer un outil interne mais impossible de le maj, il est aux oubliettes : il s'agit du guide des initiatives au service du travail social (cahier 23).  
Dominique Deret me dit qu'elle va me mettre en contact avec plusieurs personnes, notamment de la mairie de Gennevilliers, et Mina (de la maison des familles) et des entreprises d'insertion. 

on discute de toucher le public au travers d'interventions au sein des ateliers informatiques. Autrement au cyberemploi, venir de temps et temps et voir si c'est pertinent. Le souci c'est que les publics ne se rendent pas dans ce  lieu par hasard, seulement lorsqu'ils sont convoqués, ce n'est pas facile d'animer des temps avec eux. On parle également d'intervention pendant les réunions ""droits et devoirs"" qui ont généralement lieu 1x par mois. Les publics y sont convoqués dans le cadre du RSA. Nous pourrions expérimenter des interventions de Soliguide de 15mins, sur un projecteur. Ils sont entre 10 et 12 pendant ces temps la. 
Pour l'instant, ces réunions n'ont pas repris suite au COVID, mais devraient commencer bientot. Dominique me tient au courant. 

email recap : remerciements, rappel intervention réus droits et devoirs, rappel intervention au cyberemploi, rappel envoi contact. 


",à relancer mi-octobre si pas de nouvelles,Retour positif,Espace Insertion Gennevilliers,Ville de Gennevilliers - Espace Insertion ,,
Permanence Emmaüs Alternatives - Montreuil,93,Permanence,Salarié.e,Coline Rollet,,0.0,Sebastien Frigola,8.0,17/9/2021,"Présentation du Soliguide à différentes personnes de l'accueil de jour :
- 2 hommes pas intéressés par le Soliguide (dont un qui parlait anglais et qui était plongé dans ses pensées)
- 1 homme intéressé à moitié qui a installé l'application mais qui s'est de suite désintéressé de l'appli et de ce que je lui disais 
- 1 homme, qui au début avait l'air intéressé mais qui a fini par faire un procès d'intention en me disant que ""le numérique ne va pas sauver le monde"" 
- 1 homme qui avait l'air intéressé mais qui n'avait clairement pas le temps (car il devait prendre une douche)
- 3 hommes très intéressés qui cherchaient des cours de français : je leur ai montré comment fonctionnait le Soliguide, je leur ai indiqué plusieurs structures ouvertes où ils pouvaient trouver des cours de français, je leur ai indiqué les coordonnées et 2 des 3 hommes m'ont dit qu'ils allaient y aller le lundi prochain ",,,Accueil de jour Emmaüs alternatives - Montreuil,Emmaüs alternatives - accueil de jour,,
Rencontre et sensi compte pro Restos du Cœur 91,91,Rencontre structure,Salarié.e,Emilie Donque,,2.0,,,17/9/2021,"Rencontre avec Roland COTTON (Président de l'association départementale 91 des Restos du Cœur, Responsable de l'observatoire et administrateur national des tremplins du cœur - également journaliste au Républicain de l'Essonne) et un bénévole qui est arrivé en route.

> Informations:
- réunion des GAS tous les mois environ
- centre des restos itinérant bientôt ouvert dans le sud Essonne

Les Restos du Cœur : Siège national - délégations régionales - associations départementales (personnalité juridique a part entière) - centre d'activités (dépendent du département)

Les Restos du Cœur 91 ce sont 750 bénévoles (moyenne d'âge 58ans), et des centres tous autonomes (différents horaires et fermetures). Avec la crise sanitaire, remise en question de certains fonctionnements sur les centres : ouverture sur des plages horaires plus larges (en soirée et le samedi). 
Monsieur Cotton quittera la présidence en 2022.

Projet développé dans l'Essonne: les tremplins du coeur ( agréé organisme de formation) - pour les personnes très éloignées de l'emploi ou désocialisées - Actions de remobilisation / remotivation / mise à niveau  et visites d'entreprises, et ensuite partenariat avec des entreprises où les métiers sont en tension et ensuite formation (contrat de professionnalisation) - a la fin de cette période diplôme
et CDI (75% de sorties positives). 
Tremplin s'occupe de tout pour les participants : logement / transport 
Il y a 1 seul travailleur social pour l'accompagnement. 

> attention changement d’horaires été /hiver (ces changements d’horaires et les campagnes vont changer pour être ouvert toute l’année à terme)

Roland Cotton va s'occuper du compte pro (ancien prof en informatique) et faire participer ses élèves également.

Nous avons convenu de la transmission de la fiche horaires pour l'année dès avril pour MAJ Soliguide.




","> envoi compte pro et fiches pour validation à M. Cotton
> transmission fiches horaires pour MAJ (dès avril pour l’été et l’hiver)
> voir pour contact avec TS des restos pour échanger

> de mon côté: voir sièges Amazon, Intermarché (Bondoufle) et Coca dans l'Essonne + article dans le Républicain + 
",Retour positif,"Resto du Cœur Evry,Resto du Cœur - Angerville,Resto du Cœur - Marolles-en-Hurepoix,Resto du Cœur Centre d'activité de Brétigny-sur-Orge,Resto du Cœur Centre d'activités de Breuillet,Resto du Cœur Centre d'activités de Corbeil-Essonnes,Resto du Cœur Centre d'activités d'Etampes,Resto du Cœur Centre d'activité de Ballancourt sur Essonne,Resto du Cœur Centre d'activité de Dourdan,Resto du Cœur Centre d'activités de Crosne,Resto du Cœur Centre d'activité de Grigny,Resto du Cœur Centre d'activités de Courcouronnes,Resto du Cœur Centre d'activité de Massy","Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91,Restos du Cœur AD91",,
Village d'Innovation Sociale - AGORAé,75,Présentation publique,Service civique,Solinum Paris,,12.0,Bérangère Poncet,0.0,18/9/2021,"Action et CR par Alexine (VSC)

Présentation du Soliguide au Village d'Innovation Sociale du Congrès Annuel de l'AGEP, sur invitation de Bérangère Poncet, présidente de l'AGEP.

Notre objectif était de nous faire connaître des associations étudiantes parisiennes, afin de diffuser le Soliguide auprès du public étudiant, qui pourrait également être intéressé par l'outil (notamment avec l'augmentation de la précarité étudiante suite à la crise du Covid, et le recensement d'un certain nombre de structures à destination des jeunes).

Il n'y avait pas énormément de participants, mais j'ai pu présenter le Soliguide à tous.tes celleux qui étaient présent.e.s et obtenir des contacts pour favoriser notre diffusion auprès des réseaux étudiants, notamment : 

--> Arnaud Bichet, nouveau responsable partenariats AGORAé (arnaud.bichet@ageparis.org)

--> Salomé Tessier, chargée de la Défense des droits à l'AGEP, intéressée par le Soliguide car peut représenter un outil à présenter aux étudiants pour faciliter l'accès à leurs droits (salome.tessier@ageparis.org)

--> Le BDE de la filière Mathématiques Informatique de Paris 5, qui ont emporté des flyers avec eux pour les installer dans leur local (mibde.paris5@gmail.com). Ils nous ont fait remonter l'enjeu du logement et de l'hébergement pour les étudiants, car il existe des structures qui leur sont spécialement dédiées mais ils sont rarement informés.

--> Une étudiante de Paris VII qui a proposé de nous aider à organiser des sensi dans son université (claradv2002@gmail.com)

--> Une élue étudiante chargée de mission précarité, très intéressée par le Soliguide et les différentes données que nous recensions, elle a posé beaucoup de questions. Elle a notamment demandé si nous donnions des formations gratuites, je lui ai expliqué que nous ne sensibilisons qu'à l'outil (nourachallam.a2sup@gmail.com)



",Envoyer un mail à ces nouveaux contacts afin de réfléchir à des actions communes.,,"AGORAé 18ème,AGORAé 13ème","Association Générale des Étudiants de Paris,Association Générale des Étudiants de Paris",,
Village des associations,67,Permanence,"Salarié.e,Service civique","Philippe Nieto,Solinum Bas-Rhin",,8.0,,2.0,18/9/2021,"Le village des assos nous a permis de toucher:
- 2 bénéficiaires
- 1 bénévoles potentiels 
- 2 élus
- 15 personnes grand public
- 5 acteurs de la solidarité
- 1 service civique potentiel 

Concernant le recrutement de bénévoles, de services civiques, et en terme de diffusion de nos actions, l'impact reste limité par rapport au temps consacré. Les personnes que nous avons touché ne correspondent pas vraiment à notre public cible.

En revanche, nous avons pu rencontrer Madame Dreyssé, en charge de la Solidarité à l’Eurométropole de Strasbourg. Il a été convenu qu’elle participera au bilan de notre action avec le CCAS de Strasbourg afin de fixer les prochains objectifs et d’étudier le montant auquel l’Eurométropole pourra participer. Elle m’a également donné le contact d’un Vice-Président de l'agglomération de Mulhouse et m’a conseillé de le contacter de sa part. C'est un contact que j'essaye de joindre depuis environ 5 mois donc cela a permis de débloquer la situation

Nous avons également rencontré Florian Konbryn, élu à la CeA. Un rendez-vous est prévu le 11 Octobre afin de discuter de notre projet de déploiement du Soliguide. Du côté de la CeA, la situation est également totalement bloquée. Il est possible que ce rendez-vous puisse changer la donne. 

Sur ces deux points, notre présence était donc essentiel, et aura potentiellement un impact important. ",,,,,,
Sensibilisation AS SUFFA,78,Rencontre structure,Salarié.e,Charlotte Camard,,6.0,Abdelaziz EL JAOUHARI,0.0,20/9/2021,présentation soliguide et visite des locaux,envoi invitation compte pro et plaquette,,Association AS-SUFFA,Association AS-SUFFA,,
Visite Salle à Manger,92,Rencontre structure,Salarié.e,Ségolène Robert,,2.0,"Jeanne Pariente,Stéphanie Taltasse",0.0,20/9/2021,"(sr) visite de la salle à manger ce jour et rencontre avec Jeanne et Stéphanie. Le lieu est immense et très bien pensé pour l'accueil. Il n'y a pas de lumières naturelles car en sous-sol, cest le seul vrai hic. On peut imaginer un vrai lieu solidaire de l'existant. 
Jeanne et Stéphanie m'expliquent le projet de chacune des salles, comment elles comptent fonctionner, ce qu'il en est des recrutements.
Elles me font faire un tour ensuite à la MDA (maison de l'amitié), j'y rencontre Nicolas Baudrier. 
Je leur dépose des affiches et flyers, on se tient au courant pour savoir comment collaborer ensuite. Elles sont partantes pour qu'on continue à diffuser leur besoin de bénévoles dans la NL d'octobre. je me le note. Et Stéphanie est bien OK pour le COOP.
Inauguration le 9/11/21 et ouverture d'exploitation le 15/11/21","garder contact avec elles et prendre des nouvelles régulièrement, communiquer sur leurs besoins + une fois ouvert, collaborer",,La Salle à Manger,La Salle à Manger,,
Rencontre spontanée à la Chiffonne Rit ,33,Rencontre structure,"Service civique,Bénévole",Solinum Gironde,Angele RIANT,1.0,Cyril Despagne,0.0,20/9/2021,"Visite à la Chiffonne Rit lors de sensi spontanées rive droite, Siurana et Angélique (bénévole), c'était sa 1e fois sur le terrain. 
A notre arrivée sur le lieu, nous avons été accueillies par Cyril qui nous a fait visiter tout le lieu et a bien pris le temps de nous expliquer son fonctionnement, et nous présenter les artisan.e.s présent.e.s. 
Le but de notre visite était principalement de s'assurer que la Chiffonne rit est bien un lieu solidaire, car la description ne mentionnait rien de ce type. 
D'après la description de Cyril, la chiffonne rit a tout de même sa place sur Soliguide (association qui récupère des matériaux de chantier et les donne gratuitement aux particuliers, événements culturels gratuits et ouvert à tous et toutes..). Il faudrait modifier la description afin d'y ajouter la dimension solidaire. 
Cyril est à priori d'accord pour gérer un compte professionnel, il pourrait notamment y partager les événements culturels du lieu, il doit d'abord en parler à l'équipe.",,,La Chiffonne Rit,La Chiffonne Rit,,
Visite spontanée au CLLAJ (Association Laïque du Prado),33,Rencontre structure,"Service civique,Bénévole",Solinum Gironde,ANGELIQUE MADEIRA,1.0,,0.0,20/9/2021,"Visite au CLLAJ (AL prado) lors de sensi spontanées rive droite, Siurana et Angélique (bénévole). 
A l'accueil, nous avons rencontré une secrétaire qui au départ était assez réfractaire à échanger avec nous. Après lui avoir présenté rapidement le Soliguide et notre démarche, elle nous a dit qu'il fallait que nous entrions en contact avec le siège mais a refusé de nous donner un contact du Siège.. 
Nous avons tout de même pu vérifier les informations et nous sommes rendues compte que l'adresse e-mail et le numéro de fax n'étaient plus valides. Elle nous a dit d'indiquer seulement le contact par téléphone car il est vraiment plus pratique que l'e-mail pour eux. Le reste des infos étaient à jour. 
J'ai laissé des flyers qu'elle transmettra à l'équipe sur place. ",Trouver un contact du siège de l'association Laïque du prado ,,CLLAJ de Bordeaux,Comités Locaux pour Le Logement Autonome des Jeunes (CLLAJ),,
RDV avec L'association culturelle des Afghans de France ,44,Rencontre structure,Service civique,Solinum Loire-Atlantique,,0.0,,0.0,20/9/2021,"Sensi par Lexane et Léna
Rencontre avec le Monsieur qui gère (bénévolement) l'association. Il nous a raconté son parcours de vie ainsi que l'histoire et les actions menées par l'association. 
Mise à jour de sa fiche et OK pour un compte pro (ne pas oublier de lui envoyer les codes une fois que ce sera possible !)
Très sympathique, mais attention au temps (il a beaucoup de choses a raconter) ",Envoyer les codes pour le compte pro et il nous a inviter à venir manger lors de leur prochain rassemblement. ,,Association Culturelle des Afghans de France (ACAF),Association Culturelle des Afghans de France (ACAF),,
Perm 4 La Passerelle Croix-Rouge,92,Permanence,Salarié.e,Ségolène Robert,,1.0,Joséphine Laurent,5.0,21/9/2021,"(sr) permanence assez calme, je vois des visages habituels et aucun nouveau.
Toutefois le format était très intéressant, les bénéficiaires commencent à me reconnaitre et sont à l'aise avec moi. Nous avons pu creuser et demander aux usagers quels étaient leurs besoins. Orientation vers des structures distribuant des colis alimentaires ou mettant à dispo des vêtements. 
Joséphine annule finalement le dej avec Audrey d'Entourage du lendemain, car elle est débordée. Elle nous envoie par email un doodle avec plusieurs dates, que je remplis et lui dit que cest fait. 
Nous bookons la date du mardi 26/10/21 à 10h15 pour la prochaine perm. Je bloque sur l'agenda.
On se dit d'ailleurs qu'une fois par mois, c'est bien, pour éviter que ce soit trop redondant.
Monsieur Roche, un bénéficiaire qui vient tous les jours dans la structure, me tient un discours intéressant, impliquant que le Soliguide cest bien mais qu'il faudrait des relais ""permanents"" dans les structures pour que ca prenne auprès des bénéficiaires, aka une personne en charge de sensibiliser les bénéficiaires dans les structures. C'est vraiment intéressant. 
Je vois sur l'affichage que la structure propose des kits de protections périodiques et des sous-vêtements, Joséphine me le confirme. Je les ajoute sur la fiche. ",,,La passerelle Croix rouge,Croix-Rouge des Hauts-de-Seine - La Passerelle,,
Restitution Expérimentation Parisienne - ANSA x Soliguide ,75,Copil,Salarié.e,Jeanne Ovart,,10.0,,0.0,21/9/2021,"Participants :
une responsable Action Contre la Faim
Clara Guillotin & Agathe Morandeau (Entourage)
Céline Lemma (DRIHL) et une personne qui travaille avec
Yohanna Andriamanisa (Samu Social)
une personne de la DASES
(Moins de participant que prévu)

Avec Simon de l'ANSA, nous avons présenté les résultats de la mesure d'impact et les fonctionnalités qui vont se développer pendant une heure. Nous avons axé également sur la suite de Soliguide sur le 75, en IdF et au national. 
Nous avons eu certaines questions quant à la suite de Soliguide à Paris et en France, des détails demandés sur les futures fonctionnalités. La fonctionnalité de l'annuaire professionnel et des fiches ""parcours mobiles"" ont été très bien reçues.
Nous avons pris un verre ou certains contacts ont été récupérés (notamment le Samu Social)",-Diffusion sur notre synthèse et le rapport,,,,"Soliguide - Mesure d_impact à Paris - Rapport complet.pdf (https://dl.airtable.com/.attachments/5163258a486136901b33d775e4f8c74e/d7925d3f/Soliguide-Mesured_impactParis-Rapportcomplet.pdf),Soliguide - restitution expé Paris - v0.1.pptx (https://dl.airtable.com/.attachments/81071528db674c73a558451b939418fd/4b39d1a0/Soliguide-restitutionexpParis-v0.1.pptx),Synthèse papier mesure d_impact.pdf (https://dl.airtable.com/.attachments/6cfd72bd461299ff4acd2e929331c1a7/51b628a5/Synthsepapiermesured_impact.pdf),Paris_synthèse mesure d_impact Soliguide_vf.pdf (https://dl.airtable.com/.attachments/c9496e122d1230363f332925d7f85c05/c7cbdd13/Paris_synthsemesured_impactSoliguide_vf.pdf)",
Rencontre Reconnect,94,Rendez-vous,Salarié.e,Suzanne Danvin,,1.0,,0.0,21/9/2021,A compléter,,,,,,
Rencontre La Cloche (repère),44,Rencontre structure,Salarié.e,Gian Barboni,,3.0,Maxime Hurault,2.0,22/9/2021,"J'ai pris contact par mail avec Maxime Hurault, directeur de l'antenne Pays de la Loire de La Cloche. Nous n'avons pas réussi à trouver de créneaux communs pour s'appeler. Il m'a donc proposé de passer au repère ce mercredi matin (22/09/21).

J'ai pu présenter Solinum et nos projets aux salariées (Juliette et Caroline), à un bénévole (Franck) et à plusieurs bénéficiaires. Je suis resté environ 1h30, j'ai donc pu échanger assez longuement avec les différentes personnes présentes, notamment avec Juliette et Franck qui m'ont bien expliqué les différentes actions menées par La Cloche dans Nantes Métropole.

J'ai également pu discuter rapidement avec Maxime, qui m'a parlé de leurs différents partenariats et des échanges qui ont pu avoir lieu entre Solinum et La Cloche dans le 44.",Je leur ai parlé de ma volonté d'organiser un COOP dans les prochaines semaines et leur ai dit que ce serait intéressant qu'ils soient présents. Ils sont d'accord sur le principe. Nous devons rester en contact.,,Repère du Carillon - Grand Bain,La Cloche Pays de la Loire,,
CLIP Grand Parc,33,Réunion de coordination,Salarié.e,Agathe Thomas,,3.0,,,22/9/2021,"CLIP Grand Parc (1ère fois que j'y participais) au centre d'animation. Ordre du jour pas très pertinent au vu de notre mission mais temps fort du quartier.
Présentation : 
- le Petit Parc :lieu de convivialité dans le quartier, pas encore de lieu, une partie restauration
- la Maison du projet sur les évolutions du quartier 
- label cité éducative 
- possibilité de faire venir un vaccibus pour toucher certains habitants du quartier
- kiosque solidaire
- Maison de l'emploi : 3 événements 
","Contacter le Petit Parc pour les référencer
Rappeler l'atelier graphite en vue de leur déménagement 
Contacter David Sejourne de LARPE",,"Atelier Graphite,Lieu d'Aide à la Relation Parent Enfant (LARPE)","Atelier Graphite,AGEP (Association Girondine Education spécialisée et Prévention sociale)",,
Sensi pro Secours Populaire antenne de Nanterre,92,Rendez-vous,Salarié.e,Ségolène Robert,,2.0,"Marie-José Cattin,Hélène Sébilet,Anny Phonsavane",0.0,22/9/2021,"(sr) visite de la structure, rdv avec Hélène et Marie-Jo
Marie Jo est une figure de la solidarité à Nanterre, elle fait partie de l'administration du CCAS et elle me fait part que la ville aimerait échanger avec nous. Je contacte dans la foulée Madame le Blevec pour lui proposer une rencontre, surtout que mise en relation très récente par Valentine. 
On remet à jour qques éléments avec Hélène, qui m'explique que c'est elle qui fait les màj, elles utilisent Soliguide qu'elles trouvent utile et important
Reconnaissent que c'est important également de transmettre l'information à propos du Soliguide aux bénéficiaires.

Elles m'expliquent le fonctionnement de l'antenne. Font des ramasses de magasin
et ont un soutien de l'UE pour toute l'épicerie. Ils proposent également des plats préparés et des fruis et légumes frais. Elles distribuent des kits d'hygiène et des couches mais sont souvent, et trop souvent, en rupture de stock. Nous l'ajoutons sur la fiche en indiquant que cest souvent en rupture.
Y sont suivies1238 familles par an, il y a bcp de dossiers individuels. Théoriquement la règle c'est un passage tous les 15 jours mais parfois une fois par semaine selon les situations. La structure est aidée de bénévoles, qui sont souvent des bénévoles et bénéficiaires en même temps. 

Marie-José me suggère référencer une asso qui s'appelle Mama, qui distribue des protections, de référencer la ressourcerie également à Rueil-Malmaison et surtout de contacter le csapa de Nanterre, dans lequel elle a travaillé 42 ans. Ils ont des énormes besoins la bas. 

Je leur explique que j'aimerais entrer en contact avec les responsables des antennes SPF 92 locales, elles me recommandent d'entrer en premier en contact avec clichy (nicole), gennevilliers, colombes, qui ont à priori les plus gros besoins.
Anny va essayer de son côté de les rassembler autour de la table. 

On cale une date de sensi test auprès des bénéficiaires le mercredi 6 octobre à partir de 14h30, elles ont l'air contentes. Hélène m'accompagnera à priori, elle me transmet son numéro de tél. 
Je leur propose de participer au COOP mais m'expliquent qu'elles sont débordées, (attendre un peu avant de trop précipiter les choses). 

Nous discutons également avec Anny à propos de la présentation du Soliguide auprès de l'équipe accès aux droits, elle essaiera également de rassembler des resp d'antennes. On convient que je lui propose des dates pour faire ca en visio.

Je les remercie par email et leur confirme ma venue le mercredi 6 octobre à 14h30 pour la sensi, et aussi pour qu'elles aient mes coordonnées
Je transmets également un email à Anny avec dates pour la présentation à la team accès aux droits. rappel fait",,,Secours populaire Antenne de Nanterre,Secours populaire des Hauts-de-Seine - Antenne de Nanterre,,
Sensi spontanée Centre social Portes du Midi,94,Rencontre structure,Salarié.e,Suzanne Danvin,,2.0,Stéphanie FEBVAY,0.0,22/9/2021,"Sensi spontanée un mercredi après-midi (env. 15min)

Rencontre de la personne à l'accueil qui m'a dirigée vers la coordinatrice
> présentation rapide de Soliguide
> rappel du compte pro (déjà créé par qqun dans la structure) : elle m'a donné son adresse mail pour que je lui envoie l'invit. Met déjà à jour les infos sur google, donc pas sûre qu'elle le fera sur Soliguide...
> proposition sensi (équipe & ""adhérents"") : a semblé intéressée

100 flyers donnés",- Mail lien compte pro + explications sensi,,Centre Social des Portes du Midi,Centre Social des Portes du Midi,,
