Nom,Etat,Territoire,Source,Document à joindre,Notes,Lien,Date de parution,Référent
SEUL - SSR Melun : Abris de nuit (ADJ CR Chelles),A ajouter,77,ADJ CR Chelles,,Relancer Mourad BOUDERBAL,,,Noëlène Guérin
"PERMANENCES - Coquelicot Consultations
",A ajouter,77,,,,,,Noëlène Guérin
PERMANENCES - Asso Le chêne et ses racines ,A ajouter,77,,,"Melun
Contacter Désirée de cette asso",,,Noëlène Guérin
SEUL - Association OMAC,A ajouter,77,,,,https://omactorcy.centres-sociaux.fr/nous-contacter/,,Noëlène Guérin
RESEAU - AIP Mitry Mory,A ajouter,77,PAD Chessy,,0160212280,,,Noëlène Guérin
RESEAU - AIP Chelles,A ajouter,77,PAD Chessy,,0164213091,,,Noëlène Guérin
SEUL - Mission locale de Lagny-sur-Marne,En cours d'ajout,77,PAD Chessy + EDI Iliade va m'envoyer le contact,,0160073797,,,Noëlène Guérin
PERMANCENCES - AVIMEJ,Données intégrées,77,,Liste permanences.pdf (https://dl.airtable.com/.attachments/8251f57709ef4c078585781220a32eb6/5a984d41/Listepermanences.pdf),Permanences juridiques,https://www.avimej.org/les-permanences/,,Noëlène Guérin
SEUL - PAD La ferté sous jouarre,A ajouter,77,,,,,,Noëlène Guérin
SEUL - France Service Crecy la Chapelle,A ajouter,77,,,,https://lannuaire.service-public.fr/ile-de-france/seine-et-marne/msap-77142-01,,Noëlène Guérin
RESEAU - Les points France Services du 77,A ajouter,77,,,,https://anct-carto.github.io/france_services/,,Noëlène Guérin
SEUL - La brèche 77,A ajouter,77,,,,https://www.labreche77.com/,,Noëlène Guérin
PERMANENCES - ADIL 77,Données intégrées,77,https://www.adil77.org/ladil-de-seine-et-marne/nos-permanences/,,Les contacter (voir avec Emilie),https://lannuaire.service-public.fr/ile-de-france/seine-et-marne/adil-77288-01,,Noëlène Guérin
PERMANENCES - UFC Que choisir,A ajouter,77,,,https://www.quechoisir.org/un-litige/al-156-ufc-que-choisir-seine-et-marne-est/,http://www.conso-briard.org/perm.htm,,Noëlène Guérin
GROUPE - Annuaire Médico-Social 77 (AMSA),A ajouter,77,,,,https://www.seine-et-marne.fr/fr/annuaire-des-lieux?page=1,,Noëlène Guérin
GROUPE - Voir CR COPILs,A ajouter,77,,,- Adsea Pije,,,Noëlène Guérin
MDS 77 x14,Données intégrées,77,,portrait-social-de-la-seine-et-marne.pdf (https://dl.airtable.com/.attachments/bdb892b2119664278e2330eb60d278d9/1a7a2553/portrait-social-de-la-seine-et-marne.pdf),,,,Noëlène Guérin
RESEAU - Emmaüs du 77,A ajouter,77,,,,,,Noëlène Guérin
PERMANENCES - UDAF 77,A ajouter,77,,,,https://www.udaf77.fr/,,Noëlène Guérin
PERMANENCES - PAEJ Ecoute Jeunes (Coquelicot consultation),A ajouter,77,,,,http://coquelicot-consultations.fr/index.php/point-accueil-ecoute-jeunes/,,Noëlène Guérin
Centre social La Mosaïque + annexe à Beauregard,Données intégrées,77,,,,https://ccas-nemours.com/,,Noëlène Guérin
Plaquette CS La Mosaïque Nemours + Annexe Beauregard,Données intégrées,77,,,,https://www.nemours.fr/wp-content/uploads/2019/08/plaquette-ccas.pdf,,Noëlène Guérin
RESEAU - Sinacté (Réseau SIAE 77) - Avant le 26 août,Données intégrées,77,Donnée par Sylvaine Borniche directrice de Sinacté,"Le Mode d-emploi 2021.pdf (https://dl.airtable.com/.attachments/13be1e9a1dde11cd3961b97f3b74d944/4f7e140e/LeModed-emploi2021.pdf),IMG20210819104516.jpg (https://dl.airtable.com/.attachments/ebbbb09f8c903c0f7571415033ba138f/2a8ae51f/IMG20210819104516.jpg)"," vous trouverez ci-joint le Mode d’emploi 2021. En pages 5 à 11, vous verrez l’annuaire de toutes  les SIAE 77. A noter que depuis son édition, Tourret n’est plus dans la liste et qu’il y a 3 nouvelles SIAE mais qui n’ont pas encore commencé leurs activités : Humando (intérim d’insertion qui sera vraisemblablement basé sur Mitry-Mory), An&s (chantier d’insertion sur Barbey) et Vf circuits courts (Entreprise d’insertion basée à Savigny-le-Temple).",http://sinacte.fr/sinacte/,,Luce Michel
SEUL - Epicerie solidaire La Gabarre,A ajouter,77,CCAS de Souppes sur loing + Chateau Landon ,,,https://lewebpedagogique.com/balancetaculture/2019/05/29/la-gabare-souppes-sur-loing-epicerie-solidaire/,,Noëlène Guérin
GROUPE - Urgence sociale de pontault combault,A ajouter,77,,,- Domiciles Services,http://www.pontault-combault.fr/sites/default/files/atoms/files/guide_urgence_sociale_pap.pdf,,Noëlène Guérin
SEUL - Arche Guédon (lien avec CCAS Torcy + Maison Léo Lagrange),A ajouter,77,,,,https://www.ville-torcy.fr/action-sociale-solidarite/les-aides/acces-aux-droits/,,Noëlène Guérin
GROUPE - Annuaires des asso (social) de Souppes sur Loing,A ajouter,77,,,,http://souppes.fr/page_social.html,,Noëlène Guérin
GROUPE - Liste de services municipaux et asso de la ferté gaucher,A ajouter,77,,,,https://www.la-ferte-gaucher.org/wa_files/18_2007_2023_20Livret_20MSAP-_20Juillet_202018.pdf,,Noëlène Guérin
RESEAU - CARED (Cellule d’Aide à la Recherche d’Emploi pour les personnes en Difficulté),A ajouter,77,,,,http://cared-asso.fr/la-cared-en-bref/,,Noëlène Guérin
"RESEAU - Comité Départemental du Sport en Milieu Rural de Seine-et-Marne
(CDSMR77)",A ajouter,77,,,"Leur demander si c'est pertinent de les recenser sur Soliguide (agissent pour qui, comment...)
",,,Noëlène Guérin
"SEUL - PEP 77 = Association départementale des Pupilles de l’Enseignement Public
de Seine-et-Marne",A ajouter,77,,,Cours de français (ASL...),http://www.lespep77.org/,,Noëlène Guérin
GROUPE - Agglo Valeurope : Santé,A ajouter,77,,,,https://www.valdeuropeagglo.fr/sante-handicap/,,Noëlène Guérin
"GROUPE - Agglo Valeurope : structures MSP, CSI...",Données intégrées,77,,,Programme de l'été : https://www.valdeuropeagglo.fr/programme-lmv-csi-val-d-europe/,https://www.valdeuropeagglo.fr/sante-handicap/,,Noëlène Guérin
Epicerie solidaire l'Oasis 77,Données intégrées,77,MSP Chessy,,,https://www.valdeuropeagglo.fr/lepicerie-solidaire-du-val-deurope-recherche-des-benevoles/,,Noëlène Guérin
SEUL - Médiathèques Val d'Europe (Chessy : Médiathèques (une en centre urbain + 4 de proximité)),A ajouter,77,MSP Chessy,,,https://www.valdeuropeagglo.fr/le-reseaux-des-mediatheques/,,Noëlène Guérin
GROUPE - Relais petite enfance (RAM ?) + Relais Jeune (=résidences jeunes travailleurs - accompagnement social avec éduc spé - aide - stages sport gratuits > à Chelles et Torcy aussi),A ajouter,77,MSP Chessy,,,,,Noëlène Guérin
RESEAU - AIP (emploi Insertion),A ajouter,77,MSP Chessy,,,,,Noëlène Guérin
SEUL - EPIDE (emploi insertion),A ajouter,77,MSP Chessy,,,,,Noëlène Guérin
PERMANENCES - ADOBASE,A ajouter,77,MSP Chessy,,- Jardins d'Auteuil,,,Noëlène Guérin
! PRIORITE : Aide alimentaire,En cours d'ajout,77,https://docs.google.com/spreadsheets/d/1K_nIm2-ng0_xFbUGq6X3pYED-BAxkENNVSKrQoZ1tm0/edit#gid=0,,J'ai créé un google Sheet avec la liste des asso qu'on n'a pas encore et qu'il faut référencer en premier !,http://37.187.226.65:81/ReVIVRE/IDF_new.html,,Noëlène Guérin
PRIORITE - Liste CCAS Fontainebleau,En cours d'ajout,77,,,"FONTAINEBLEAU
ACCUEIL DE JOUR
CROIX ROUGE FRANCAISE

QUARTIER BREAU
7 RUE DES ROUGES GORGES
77300 FONTAINEBLEAU
01 64 69 08 85
Ouvert du lundi au vendredi 8h30 à 13h
Accompagnement social
Hygiène, restauration",,,Noëlène Guérin
Communauté Jeunesse ,"Données intégrées,Partenariat actif",91,,,35 rue CARON 91 200 Athis Mons,"Leurs structures pour les femmes victimes de violence déjà référencé, et le reste c'est un CHRS",,Luce Michel
Réunion Protestant Charité Coquerel ,A ajouter,91,,,91200 - Athis-Mons ,,,Luce Michel
Regroupement Montgeron - épicerie sociale - OASIS,A ajouter,91,,,6 rue des Près Montagne Crève Coeur 91230 Montgeron (Vérifier si pas même épicerie que celle au 101 de la rép) ,,,Luce Michel
La Table Ouverte,A ajouter,91,,,66 rue Pierre Brossolette 91 330 Yerres -> ne font rien là bas ! ,,,Luce Michel
Epicerie Epinay/Sénart ,Données intégrées,91,,,6 rue Johann Strauss 91 860 Epinay-sous-Senart,,,Luce Michel
AFD ,A ajouter,91,,,79 Boulevard Henri Barbusse 91 210 Draveil -> ne semble plus exister,,,
A.A.A.D ,A ajouter,91,,,91130 RIS-ORANGIS,,,Luce Michel
Corbeil sans Faim,A ajouter,91,,,33 avenue Léon Blum 91 100 Corbeil Essonne,,,Luce Michel
Secours Islamique ,A ajouter,91,,,"10 rue Galvani 91 300 Massy --> Déjà référencé pour l'accueil de jour, voir s'il ne faudrait pas les référencer pour la distrib alimentaire",,,Luce Michel
Revivre Ile de France,A ajouter,91,,,18 avenue Ferdinand de Lesseps 91 420 Moragis -> peut pas être ajouté car activités qui collent pas à Soliguide,,,Luce Michel
Le Théâtre du Fil ,A ajouter,91,,,Bp 40 Ferme de Champafne 91 062 Savigny sur Orge -> Rien à voir avec l'aide alim ... ,,,Luce Michel
CES Centre d'Entraide et Solidarité,A ajouter,91,,,17-19 Rue Gustave Eiffel 91070 Bondoufle ,,,Luce Michel
CCAS - Epicerie sociale Oasis,Données intégrées,91,,,"101 Avenue de la République, 91 230 Montgeron",,,Luce Michel
CCAS Palaiseau ,Données intégrées,91,,,8 avenue du 1er Mai 91125 Palaiseau,,,Luce Michel
La C.L.E  Chilly Long Jumeau Entraide ,A ajouter,91,,,"7 Ter Rue Jules Ferry, 91160 Longjumeau (déjà ajouté)",,,Luce Michel
CES Centre d'Entraide et Solidarité ,A ajouter,91,,,117 avenue de la République 91 230 Montgeron,,,Luce Michel
Adoma ,A ajouter,91,,,"12 rue Pierre Médéric 91 360 Epinay sur Orge -> Centre d'accueil pour les personnes sans abri, pas possible de le mettre sur Soliguide. Distribution sans doute pour les perosnnes orientées par le 115",,,Luce Michel
Escale - CCAS ,Données intégrées,91,,,11 rue Jean d'Alembert 91 700 Saint Geneviève des Bois,,,Luce Michel
Epicerie Sociale ,A ajouter,91,,,112 Boulevard Saint Michel 91 150 Etampes,,,Luce Michel
Annuaire des partenaires du PRIJ,En cours d'ajout,95,PRIJ,,,https://drive.google.com/file/d/1Sd38Ljzn9XMkZT6LD65GzWjjDiTy8R-I/view,,
PADJ-91,Données intégrées,91,,,Ajouté sur les fiches sans géoloc,https://cdad-essonne.justice.fr/acces-au-droit-des-jeunes/,,Emilie Donque
Maison des associations de Pontoise,En cours d'ajout,95,,IMG_20210727_105248.jpg (https://dl.airtable.com/.attachments/cf256ed4e510848cacde41d9afae6ddf/d79ef1cb/IMG_20210727_105248.jpg),"Voir également le site : https://www.ville-pontoise.fr/equipement/maison-associations
Contacter la MDA pour leur demander la liste des associations à Pontoise",https://www.ville-pontoise.fr/equipement/maison-associations,2021-07-28,Raphaëlle Iniguez
Ajouter antennes des CCAS,Données intégrées,77,,,,http://moretloingetorvanne.fr/ccas/,,Noëlène Guérin
Secours Populaire Val d'Oise,Partenariat en cours,95,Antenne locale SP Saint Ouen l'Aumône,Liste des structures du Val d'Oise 2021.docx (https://dl.airtable.com/.attachments/03df5783d9fc712a874a7dc1b09afca0/d07ef485/ListedesstructuresduValdOise2021.docx),,https://docs.google.com/document/u/1/d/1_ZxgXUjHdUbd7UyjORb3gBN_SoYR1WCx/edit?usp=drive_web&ouid=104787966957840389717&rtpof=true,,Solinum Val d'Oise
association de la ville Goussainville ,En cours d'ajout,95,,,,https://www.info-association.com/ville/goussainville_95190/,,
APAJH (Association Pour Adultes et Jeunes Handicapés),En cours d'ajout,95,Site de l'APAJH,,"Il faudrait ajouter toutes les structures de l'annuaire (ESAT, SAVS ...).
Nous avons déjà rencontré l'ESAT de Goussainville lors d'une sensibilisation spontanée, et deux autres structures sont déjà présentes sur notre base de données.",https://www.apajh.org/annuaire/,,
Associations de la ville de Garges,En cours d'ajout,95,Ville de Garges,,Liste des assos de Garges,https://www.villedegarges.fr/AssociationsGarges/associations,,
Listing des centres sociaux et maisons de quartier du 95,En cours d'ajout,95,Fédération des centres sociaux et socioculturels du Val d'Oise,,,https://valdoise.centres-sociaux.fr/elementor-3721/,,
Annuaire des partenaires de la Maison de l'Emploi Roissy Pays de France,En cours d'ajout,95,,,Types d'acteurs très variés,http://www.mderpf.fr/Annuaire-des-partenaires,,
Annuaire des structures intercommunales,En cours d'ajout,95,Roissy Pays de France,,MJD et espaces emploi,https://www.roissypaysdefrance.fr/annuaire-des-structures-municipales,,
Listing des structures Coallia (pour les réfugiés et demandeurs d'asile),A ajouter,95,,,,https://coallia.org/nos-etablissements/,,
Listing Ecoles de la 2ème chance,Données intégrées,95,,,A ajouter à la base de données du Soliguide,https://reseau-e2c.fr/cartographie-des-e2c,,
"RESEAU - Structures CeGIDD 77
",A ajouter,77,,,,https://www.iledefrance.ars.sante.fr/system/files/2017-08/CeGIDD%20Ile-de-France.pdf,,Noëlène Guérin
? PRIORITE : Liste vaccination 77,A ajouter,77,https://www.iledefrance.ars.sante.fr/vaccination-et-depistage-covid-19-suivi-des-operations-ephemeres-et-des-centres-ouverts-pendant-la,,,https://amf77.fr/vaccination-en-seine-et-marne/,,Noëlène Guérin
SEUL - MSP (Maison des services aux publics) Nangis,A ajouter,77,Par Aurélien FDFR,,,,,Noëlène Guérin
Permanences ADIL 2021,"Données intégrées,Partenariat en cours",91,,,,https://www.adil91.org/fileadmin/Sites/Adil_91/documents/Documents_crees_par_adil91/Permanences_2021.pdf,,Emilie Donque
GROUPE - Equalis ?,A ajouter,77,,,Voir avec François,http://www.avon77.com/spip.php?article379,,Noëlène Guérin
RESEAU - SNC Solidarités nouvelles face au chômage,A ajouter,77,,,,https://snc.asso.fr/reseau-snc/implantations,,Noëlène Guérin
HOPITAL - RVH 77 Sud,A ajouter,77,,,- Eurêka,https://reseau-ville-hopital-77-sud-77.webself.net/nouvellepage29,,Noëlène Guérin
RESEAU HOPITAL - AVIH Réseau Ville-hôpital,A ajouter,77,,,,http://www.lavih.org/pres_equipe/,,Noëlène Guérin
LAEP Grigny - la récré,Données intégrées,91,,,,https://www.larecre-grigny-accueil-enfants-parents.com/,,Emilie Donque
Scouts et Guides de France 91,A ajouter,91,,,TO DO,http://www.sgdf91.fr/,,Emilie Donque
Soutien Ecoute Prison Viry Chatillon,En cours d'ajout,91,,,En brouillon / en attente retour msg vocal (en vac jusqu'au 30 août),https://www.sep91.com/contact,,Emilie Donque
La parenthaise enfantine,A ajouter,91,,,TO DO,http://laparentaiseenfantine.fr/,,Emilie Donque
Café associatif le ZEF ,A ajouter,91,,,TO DO,https://lezef.fr/,,Emilie Donque
HOPITAL - PASS 77,En cours d'ajout,77,,,,https://www.iledefrance.ars.sante.fr/precaires-annuaire-des-pass-et-outils-daccompagnement,,Noëlène Guérin
RESEAU - Psycom 77,A ajouter,77,,,,https://www.psycom.org/wp-content/uploads/2020/07/Psycom-GS77-2017-Web-small.pdf,,Noëlène Guérin
Fabrique solidaire,A ajouter,91,,,TO DO,https://fabriksaulxlidaire.wixsite.com/lafabriksaulxlidaire,,Emilie Donque
CIDFF Essonne,A ajouter,91,,,Attente retour mail / https://www.cidffessonne.org/?page_id=6,http://www.cidffessonne.org/,,Emilie Donque
"RESEAU - RIJ Réseau Information Jeunesse (CIJ, PIJ, BIJ...) 77",A ajouter,77,,,référente : olivia.pitra-puertas@cij77.asso.fr,https://cij77.asso.fr/le-reseau/,,Noëlène Guérin
HOPITAL - GHEF + leurs CSAPA et CAARUD,A ajouter,77,,,- James,,,Noëlène Guérin
RESEAU HOPITAL - GHT Sud et Nord 77,A ajouter,77,,,,https://etablissements.fhf.fr/annuaire/carte-departement.php?dpt=77,,Noëlène Guérin
SEUL - Association la rose des vents - EMPP,A ajouter,77,,,,,,Noëlène Guérin
PLIE nord Essonne,En cours d'ajout,91,,,En attente retour M. SEYE / TO DO,http://plienordessonne.org/plie/ou-sommes-nous,,Emilie Donque
PLIE 91 ,En cours d'ajout,91,,,Ajouté en partie,http://www.inclusivessonne.fr/qui-sommes-nous/,,Emilie Donque
Nouvelles Voies,A ajouter,91,,,Attente retour suite RDV Tél,https://drive.google.com/drive/u/0/folders/1FCP2AI0oNuyhFBMxiTmXqdHTGlx05dRK,,Emilie Donque
GROUPE - Asso de la DRIHL 77,A ajouter,77,,,,http://www.drihl.ile-de-france.developpement-durable.gouv.fr/seine-et-marne-77-a629.html,,Noëlène Guérin
SEUL - Asso Djamma Djigui Noisiel,A ajouter,77,,,https://www.helloasso.com/associations/association-djamma-djigui,https://www.facebook.com/djammadjigui/,,Noëlène Guérin
GROUPE - Point Conseil Budget (PCB labellisés),A ajouter,77,,Liste PCB Seine et Marne.JPG (https://dl.airtable.com/.attachments/6f1571b17e9de658c838d3f59764f878/89961c00/ListePCBSeineetMarne.JPG),,,,Noëlène Guérin
RESEAU - CMP,A ajouter,77,,,,https://www.etablissementsdesante.fr/liste/13-centres-medico-psychologiques-cmp-cattp/dep:77,,Noëlène Guérin
RESEAU - CMPP,A ajouter,77,,,,https://medecin-360.fr/cmpp-centre-medico-psycho-pedagogique/77/,,Noëlène Guérin
CMP,A ajouter,91,,,TO DO,https://www.arisse.fr/etablissements/cmpp,,
UNAFAM,A ajouter,91,,,TO DO,https://www.unafam.org/besoin-daide/trouver-une-structure?f%5B0%5D=field_departement_structure%3A191&f%5B1%5D=field_region_structure%3A94,,
GROUPE - MSAP et France Services,A ajouter,77,,,,https://lannuaire.service-public.fr/navigation/ile-de-france/seine-et-marne/msap,,Noëlène Guérin
GROUPE - Biblio et Médithèques,A ajouter,77,,,,https://www.justacote.com/seine-et-marne/bibliotheque/,,Noëlène Guérin
RESEAU - Centres sociaux,En cours d'ajout,77,,,"24/08/2021 En partant du début de la liste, j'ai mis en brouillon tous les CS jusqu'à l'espace Arc-en-ciel à Moissy Cramayel inclus ; donc le prochain à faire c'est la maison pour tous de Noisiel",https://seineetmarne.centres-sociaux.fr/les-centres-sociaux-seine-et-marnais/,,Noëlène Guérin
RESEAU - LDH,A ajouter,77,,,,https://site.ldh-france.org/idf/accueil/rubrique-2/sous-rubrique-2/seine-et-marne/,,Noëlène Guérin
RESEAU - RESF,A ajouter,77,,,,https://reseau-resf.fr/-Contacts-591-,,Noëlène Guérin
RESEAU - MSAP et France Services,A ajouter,77,,,,https://lannuaire.service-public.fr/navigation/ile-de-france/seine-et-marne/msap,,Noëlène Guérin
Petite Enfance Grigny,A ajouter,91,,,TO DO,http://grigny91.fr/grigny-et-vous/petite-enfance/la-maison-de-la-petite-enfance/,,Emilie Donque
GROUPE - PLIE,A ajouter,77,,,,https://www.europlie.asso.fr/doku.php?id=plie:annuaireplie:ile-de-france,,Noëlène Guérin
PAD du département,Données intégrées,91,,,,https://www.avocats91.com/services-et-permanences/les-consultations-gratuites.html,,Luce Michel
Centres sociaux Massy et PIJ,Données intégrées,91,,,,https://www.ville-massy.fr/vivre/les-espaces-de-proximite/,,Emilie Donque
SEUL - Centre de services de Dammarie les Lys,A ajouter,77,,, Voir si autres Centres de services similaires dans le 77,https://www.ode77.fr/lassociation/nos-partenaires/structures-partenaires/le-centre-de-services-albert-schweitzer,,Noëlène Guérin
GROUPE - Plannings familiaux,Données intégrées,77,,,,,,Noëlène Guérin
SEUL - Hameau - Association Petite Enfance Meaux,A ajouter,77,,,Permanences dans les centre sociaux Louis Aragon et Louis Braille,https://www.hameau-petiteenfance.fr/accueils,,Noëlène Guérin
Lieux d'accueil Parents-enfants LAEP 77,A ajouter,77,,,- Serviaplus / Servianett,https://1fba69f9-8a06-4f56-b20e-da75212dfbcc.filesusr.com/ugd/f41f88_df7ed12bd61f4adf8d55e0e8314779a0.pdf,,Noëlène Guérin
GROUPE - Médiathèques de Meaux,A ajouter,77,,,,https://www.mediatheques.meaux.fr/,,Noëlène Guérin
GROUPE - Structure AAVE du 77 ?,A ajouter,77,,,- Equalis,,,Noëlène Guérin
Parole de Femmes le Relais,"Données intégrées,Partenariat en cours",91,,,1 structure et 5 permanences,https://www.parolesdefemmes-lerelais.com/,,
CITHEA ,A ajouter,91,,,TO DO / médiations fam et actions thérapeutiques,https://www.cithea.org/,,Emilie Donque
Association Aurore 15,En cours d'ajout,15,,,"Je n'ai pas trouvé de contact pour l'antenne d'Aurillac. tentative d'appeler le siège à Paris pour obtenir l'information sans succès. Essayer de rappeler au : 01 73 00 02 30. Dispositifs EMILE (Engagés pour la Mobilité et l’Insertion par le Logement et l’Emploi) et 
AGIR 15, Accompagnement Global pour une Intégration renforcée : https://aurore.asso.fr/nord-est-centre-sud-ouest/emile-cantal-et-lozere",https://www.aurore.asso.fr/nord-est/agir-cantal,,Raphaëlle Vitaldurand
PERMANENCES - CDIFF,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
PERMANENCES - Défenseur des Droits ,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
PERMANENCES - Conciliateur de justice,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
PERMANENCES - PIMMS,Données intégrées,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
PERMANENCES - Le chêne et ses racines,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,,Noëlène Guérin
PERMANENCES - médiation familiale (CERAF),A ajouter,77,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
SEUL - Rebond 77 ,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
PERMANENCES - Info Surendettement,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
PERMANENCES - Handilex,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
PERMANENCES - AMIDIF 77,A ajouter,77,,,,https://mail.google.com/mail/u/2/#inbox/FMfcgzGkbDSXwZkxDNcqRJHjXMskTvSH?projector=1&messagePartId=0.1,2021-08-26,Noëlène Guérin
"RESEAU - AIDS
",A ajouter,77,CSAPA Noisiel,,,,,Noëlène Guérin
SEUL - Association Aurore : Émerainville L'hébergerie + CSAPA Georges Sand,En cours d'ajout,77,CSAPA Noisiel,,,,,Noëlène Guérin
SEUL - La ferme du Buisson - Projet Sortir,A ajouter,77,CSAPA Noisiel,,Contacter Léa Berton du service accessibilité pour le projet Sortir,,,Noëlène Guérin
SEUL - MJD Maison pour tous de Lognes,A ajouter,77,,,,,,Noëlène Guérin
CCAS de Saint Flour,En cours d'ajout,63,https://www.saint-flour.net/wp-content/uploads/2020/07/Trombinoscope-VILLE-10-JUILLET-2020.pdf,,"Contacter Monsieur Patrice SOLIER, Directeur du CCAS de Saint Flour. OK
--> Présentation Soliguide 
--> Liste d'établissements ( demander l'annuaire des 120 associations sanfloraines https://www.saint-flour.net/sports-et-loisirs/annuaire-des-associations/)
--> COPIL
Patrice SOLIER
Directeur du C.C.A.S.
04 71 60 66 93 / 06.85.17.61.27
p.solier@saint-flour.net
",,,Raphaëlle Vitaldurand
CLIC Haut Cantal,Partenariat en cours,15,https://www.capretraite.fr/clic/cantal-15/,,"Première prise de contact. ok Présentation Soliguide et comprendre le fonctionnement de leur structure. 
Directeur : Mr MALBEC Dominique,
04 71 78 25 10
clic@pays-gentiane.com
https://www.poledeprevention.fr/association/aide-aux-aidants-familiaux/clic-du-haut-cantal/",https://www.poledeprevention.fr/association/aide-aux-aidants-familiaux/clic-du-haut-cantal/,,Raphaëlle Vitaldurand
CLIC Puy-de-Dôme,Partenariat en cours,15,https://www.capretraite.fr/clic/puy-de-dome-63/,,Première prise de contact,,,Raphaëlle Vitaldurand
Crèche municipale ,A ajouter,15,https://www.saint-flour.net/education-jeunesse/petite-enfance-jeunesse/structure-multi-accueil-petite-enfance/,,,,,Raphaëlle Vitaldurand
Centre social de Saint-Flour,A ajouter,15,https://www.saint-flour.net/au-quotidien/social-solidarite/le-centre-social-municipal/,,,,,Raphaëlle Vitaldurand
LAPE'tite récré en famille,A ajouter,15,https://www.saint-flour.net/education-jeunesse/petite-enfance-jeunesse/lieu-daccueil-parents-enfants/,,,,,Raphaëlle Vitaldurand
Les services pour les séniors,A ajouter,15,https://www.saint-flour.net/au-quotidien/social-solidarite/le-3e-age-services-pour-les-seniors/,,,,,Raphaëlle Vitaldurand
La laverie sociale,A ajouter,15,,,,https://www.saint-flour.net/au-quotidien/social-solidarite/laverie-sociale/,,Raphaëlle Vitaldurand
Mission locale,En cours d'ajout,"15,63",https://www.missions-locales.org/services-pour-les-employeurs/les-contacts-locaux/,,Liste des missions locale 15 et 63,,,
frigo solidaire,A ajouter,63,,,Mise en place d'un frigo solidaire rue du 11 novembre chez La petite réserve ,,,Raphaëlle Vitaldurand
GROUPE - Site Ville de Meaux,A ajouter,77,,,- Cared,https://www.ville-meaux.fr/fr/solidarite/associations-sociales.html,,Noëlène Guérin
RESEAU - REAAP,A ajouter,77,,,,https://www.caf.fr/partenaires/caf-de-seine-et-marne/partenaires-locaux/professionnels-de-l-enfance-de-la-jeunesse-et-de-la-parentalite/le-reaap-en-seine-et-marne,,Noëlène Guérin
GROUPE - Partenaires de COS CRPF 77,A ajouter,77,,,Voir les partenaires en bas de page,https://www.cosformation.fr/,,Noëlène Guérin
SEUL - CSAPA Le Clair Obscur,A ajouter,77,,,GHSIF m'en ont parlé,,,Noëlène Guérin
SEUL - CSAPA GHSIF,A ajouter,77,,,Demander les contacts à Nelly,,,Noëlène Guérin
Réseau - Samu Social 77,A ajouter,77,,,Voir contacts avec François SIAO + Nelly Caillet,,,Noëlène Guérin
SEUL - Jeune espérance de Sénart à Nandy,A ajouter,77,,,GHSIF M'en a parlé : livraison de nourriture,,,Noëlène Guérin
PERMANENCES - Famille Laïques de Vaux le Pénil,A ajouter,77,http://www.familles-laiques-de-vaux-le-penil.fr/2016/02/les-permanences-d-info-dettes-en-seine-et-marne.html,,Surendettement,,,Noëlène Guérin
PERMANENCES - ATSM 77,A ajouter,77,,,,http://atsm.fr/wp-content/uploads/2019/08/ATSM77-plaquette-2019.pdf,,Noëlène Guérin
RESEAU - Ordre de Malte - UDIOM 77,Données intégrées,77,06 71 71 30 51 - udiom77@ordredemaltefrance.org,,,,,Noëlène Guérin
SEUL - Jeun'Esperance de Sénart,Données intégrées,77,jeunesperance2senart@gmail.com,,,,,Noëlène Guérin
SEUL - France Service du Pays de l'Ourcq,Données intégrées,77,,,,https://www.facebook.com/FranceServices.CIAS.Paysdelourcq,,Noëlène Guérin
