Sujet de la remontée,Référent,Personne à contacter,Adresse mail à contacter,Type de source,Source,Comportement souhaité,Plate-forme,Date de renseignement,Backlog web,Backlog app,Impact,Photo,Informations complémentaires,"Si c'est un bug, comment l'as-tu trouvé ?",Etat,Fonctionnalités générales,Type,Urgence,Roadmap copy,🧐 Bug ? RU ? Idée ?,Slack (from Référent),Traité le ,Référent de la remonté,Synchro AT soliguide
,Victoria Mandefield,,,Equipe Soliguide,,Ne pas afficher le bandeau jaune si l'utilisateur est connecté.,Plate-forme Web V2,13/7/2021,74-Afficher les structure d'orientation,,Négligeable,image.png (https://dl.airtable.com/.attachments/cc61a7c276e4ebff5b6313837c4aa72b/4f805baf/image.png),,https://soliguide.fr/fiche/epicerie-solidaire-aurore-montreuil-11844,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Solinum Bas-Rhin,,,115,SIAO 67,"Les gens ne font pas forcement attention aux bandeaux donc il pourrait être utile qu'une petite fenêtre s'ouvre indiquant que la structure est fermée de telle date à telle date, qu'on soit ensuite obligé de fermer la fenêtre pour accéder à la fiche",Multiple,13/7/2021,,,Mineur,,,,Traité,,Idée,,,,,4/11/2021 12:07pm,,
,Alexandra lefeivre,,,Equipe Soliguide,,J'aimerais ne pas voir votre code apparaître,Plate-forme Web V2,8/7/2021,,,Mineur,Capture bug.PNG (https://dl.airtable.com/.attachments/6415360531049a7bbfcc460b24cf2ce3/9e163071/Capturebug.PNG),,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,,,Equipe Soliguide,,"Il faudrait que les 7 points wifi s'affichent lorsque l'on tape la catégorie ""wifi"" sur le Soliguide",Multiple,6/7/2021,,,Majeur,,"https://soliguide.fr/search/strasbourg/point%20wifi

https://soliguide.fr/search/strasbourg/wifi",,Traité,,Bug,,,,,23/12/2021 10:50am,,
,Agathe Thomas,,,Equipe Soliguide,,"Pouvoir enlever les modalités spécifiques, notamment pour le service toilettes",Plate-forme Web V2,30/6/2021,,,,,https://soliguide.fr/manage-place/1756,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Marie Boutin,,,Equipe Soliguide,,"Que toutes les fiches contenant le service ""Fontaine"" apparaissent quand on cherche la catégorie ""Fontaine"".",Plate-forme Web V2,29/6/2021,,,Majeur,"fontaine.PNG (https://dl.airtable.com/.attachments/ff533f1760ec954a8819b11b6f79bc74/2d5ef1c8/fontaine.PNG),fontaines.PNG (https://dl.airtable.com/.attachments/bdf81ce93fa2b722ba555c12a8b5062b/80bd8f6f/fontaines.PNG)",https://soliguide.fr/search/nantes/fontaine?limit=20&page=1,"Recherche via la barre de recherche Soliguide
Ca le fait pour plusieurs fiches, pas que celle pris en capture d'écran",Traité,,Bug,,,,,23/12/2021 10:49am,,
,Servane Baron,,,Equipe Soliguide,,"Rectifier cette coquille est avoir ""Fermeture temporaire du"" au lieu de ""Fermeture temporairedu""",Plate-forme Web V2,24/6/2021,,,Négligeable,bug info temporaire.png (https://dl.airtable.com/.attachments/4348535a02eba46165504f1a9d459bee/7bde7627/buginfotemporaire.png),https://soliguide.fr/fiche/centre-de-distribution-de-nice-8442,En regardant mes fiches,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Florane Filomin,,,Equipe Soliguide,,"Nous devrions obtenir la liste des associations répertoriées, comme nous l'avons avec une recherche normale.",Plate-forme Web V2,22/6/2021,471-Chargement infini pour une recherche ,,Critique,Capture.PNG (https://dl.airtable.com/.attachments/3d2767a821d287c948f5fc1a6388a860/e2043e18/Capture.PNG),https://soliguide.fr/search/ile-de-france/hebergement-urgence,"""soliguide.fr"" puis ""voir toutes les catégories"" puis ""Accueil > hébergement d'urgence"" puis ""Paris"" puis on lance la recherche.",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Cynthia Aurévil,Elodie Schlumberger,dirlamontagnevivra@orange.fr,Association,Dispositif Interactif de Remobilisation! - D.I.R!,Que Mme Schlumberger puisse faire ces modifications elle même. ,Plate-forme Web V2,21/6/2021,,,Mineur,Capture d’écran 2021-06-21 à 16_13_32.png (https://dl.airtable.com/.attachments/1bb257c671c9cb33a0bad8ea54c3e735/41128c39/Capturedecran2021-06-21a16_13_32.png),https://soliguide.fr/manage-organisation/3707,Mme Schlumberger nous contacté via crisp qui au téléphone.  ,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_7aaf4886-7221-4422-a74d-289b73211f1e/,,Plate-forme Web V2,17/6/2021,,,,,Firefox 88.0Windows 10,,Traité,,,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,,,Equipe Soliguide,,Que l'ajout et la modifications des horaires sur les services d'une fiche se fasse correctement au fur et à mesure.,Plate-forme Web V2,17/6/2021,,,Critique,"bug horaires services 2.JPG (https://dl.airtable.com/.attachments/2a6565a0667a51538f45c57399fee82e/ae3e04ae/bughorairesservices2.JPG),bug horaires services.JPG (https://dl.airtable.com/.attachments/cb014c7603cae42459769067e7a7d2ab/0fc60613/bughorairesservices.JPG),horaires de base.JPG (https://dl.airtable.com/.attachments/8b2c7cce952f5a29dc74b68344b95423/4b5aa66c/horairesdebase.JPG)","Voici l'URL de la fiche :
https://soliguide.fr/fiche/centre-activite-trait-d-union-combs-la-ville-2755
","Je l'ai trouvé en modifiant et ajoutant des services sur la fiche du Centre d'Activités Sociales de Combs-la-Ville Trait d'Union. J'ai vu à la fin qu'aucun horaire n'avait été pris en compte, sauf un qui est comme resté bloqué pour tous les autres services.",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_6cc5295e-0256-49fd-a08f-3c82c3d7caca/,Elle veut réussir à créer son compte,Plate-forme Web V2,16/6/2021,,,Majeur,,IE 11.0Windows 10,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Carole Koman,,,Equipe Soliguide,,Que l'affichage soit plus clair et que le message ne s'affiche pas quand la structure est ouverte dans la partie Edition ,Plate-forme Web V2,16/6/2021,,,Mineur,"Bug soliguide 16juin.jpg (https://dl.airtable.com/.attachments/bbcfd9aea5cf69f061db367724aa4535/396e3838/Bugsoliguide16juin.jpg),Bug2 soliguide 16juin.jpg (https://dl.airtable.com/.attachments/c641ffcdaf8ec6ab0fe871c42ac06423/9c9e36a1/Bug2soliguide16juin.jpg)","https://soliguide.fr/manage-place/9624 
https://soliguide.fr/fiche/association-la-cloche-bordeaux-9624 
","Je vérifiais les mises à jour effectuée par l'asso et j'ai cliqué sur le bouton Etat de la structure pour voir les différentes options. 
J'ai un HP 840G1, Windows10,  14 pouces et résolution : 1600 x 900",Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,,,Equipe Soliguide,,"Que les organismes que je crée sur AT soient visibles dans ma liste d'organisations quand je les recherche sur ""gérer les organisations"" en filtrant sur ""77"".",Plate-forme Web V2,14/6/2021,,,Majeur,Pas de résultats - bug comptes pro 77.png (https://dl.airtable.com/.attachments/0e63bb8ea1d5d0a3902a715141d9cc1e/7d99da30/Pasdersultats-bugcomptespro77.png),,"Je l'ai trouvé en voulant inviter une personne sur un compte pro que je venais de créer. Mais je ne l'ai pas trouvé dans la liste des comptes pro de mon territoire sur Soliguide.fr. Je l'ai trouvé en cherchant son nom ou son ID, puis j'ai pu faire mon invitation et même copier le lien de l'invitation sans souci.",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Emma Baudic,,,Equipe Soliguide,,corriger la faute svp :),Plate-forme Web V2,14/6/2021,,,,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Servane Baron,,,Association,Secours catholique,Pouvoir ajouter une photo sur Soliguide,Plate-forme Web V2,14/6/2021,11-Afficher les photos sur la vue d'une structure,,Mineur,bug photo.png (https://dl.airtable.com/.attachments/e2d42a2ee7fff82107e9417ad459897c/8d121753/bugphoto.png),,Navigateur : chrome et explorer / Windows ,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_b6d307d9-dde8-4f36-8577-24dd94242931/,Que la photo puisse être uploadée,Plate-forme Web V2,10/6/2021,,,Négligeable,,Safari 14.1.1macOS 10.15.7,"Sur Safari, la personne souhaite mettre à jour sa structure via son compte professionnel. Il arrive sur la page pour y mettre une photo. Il dépose sa photo, l'ajoute, mais l'action ne se réalise pas.",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Marie Boutin,,,Equipe Soliguide,,Qu'une seule fiche apparaisse,Plate-forme Web V2,10/6/2021,466-Doublon de fiche,,Mineur,"51.PNG (https://dl.airtable.com/.attachments/4b68071d69a405fc2373a26070aebaab/bb29f508/51.PNG),014.PNG (https://dl.airtable.com/.attachments/f060091ee55da38edf67c5e1c8f6f5af/472950e9/014.PNG)",,"Dans l'onglet organisme sur Airtable, j'ai cliqué sur le lien correspondant à la page soliguide de l'organisme. 
Sur Microsoft, Google Chrome, à Nantes.",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Théo Dumouchel,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_6a437183-677c-4405-a9bf-c63010f7e54d/,bug résolu,Plate-forme Web V2,10/6/2021,,,Mineur,,Chrome 89.0.4389.128Windows 10,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Cynthia Aurévil,,,Equipe Soliguide,,Que la fiche soit en ligne quand je la passe en ligne. ,Multiple,9/6/2021,,,Négligeable,"Capture d’écran 2021-06-09 à 11_33_16.png (https://dl.airtable.com/.attachments/d16a4abc9604e6078a449cf97ac0fb79/0dc2c2ab/Capturedecran2021-06-09a11_33_16.png),Capture d’écran 2021-06-09 à 11_34_20.png (https://dl.airtable.com/.attachments/c57ecb0e3166d45c9c8826a852bd4d93/2fe2c5bf/Capturedecran2021-06-09a11_34_20.png)","https://airtable.com/tbls7M9ievHhkdobW/viwBpSVA8S1BD9tdq?blocks=hide
https://soliguide.fr/fiche/10840","Je vérifier les informations de la structure dans ""organisme"" et ""fiches"". 
Je suis sur Mac. ",Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Professionnel de l'action sociale,d'une classe de BTS à qui on a fait une présentation ,que ça mette la fiche à imprimer ,Plate-forme Web V2,9/6/2021,,,Mineur,,,elle était sur mac et sur safari,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Marie Boutin,,,Professionnel de l'action sociale,Classe de BTS,"Afficher un seul ""a"".",Plate-forme Web V2,9/6/2021,,,Négligeable,Retour bug Aafficher.PNG (https://dl.airtable.com/.attachments/afa67d3af0dc074f190e310c5802d1ed/d70464a3/RetourbugAafficher.PNG),,Sur Mac et Microsoft,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Professionnel de l'action sociale,classe de BTS,"Que ça quitte juste la petite page ""imprimer"" mais qu'on reste sur la fiche où on était ",Plate-forme Web V2,9/6/2021,,,Mineur,,"je viens de réessayer sur mon ordi ça fait la même chose, donc c'est idem sur tous les ordi :)
",,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Alice El Khoury Atieh,,,Equipe Soliguide,,"Que la liste apparaisse devant la carte afin de faciliter la ""découverte"" des options de langues et faciliter la sélection de l'option souhaitée.",Plate-forme Web V2,8/6/2021,,,Mineur,,,recherche + ajout de filtres,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Alice El Khoury Atieh,,,Equipe Soliguide,,Serait-il possible de bloquer la position sur la page ? ou d'actualiser uniquement la liste des résultats sans impacter les parties paramètres de recherche ?,Plate-forme Web V2,8/6/2021,,,Mineur,,,"Recherche (conseil admin + Argenteuil) + filtre (genre, situation admin, ... > je les ai tous fait)",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,Murielle LANG et Chloé TELLIER,noelene@solinum.org,Structure de l'action sociale,CCAS de Villeparisis (77) ,"Je souhaiterais :
> que les modifications des deux personnes soient bien prises en compte sur leur compte pro
> que les deux personnes puissent gérer la fiche et la modifier à leur guise
> que chacune voit les modifications de l'autre
",Plate-forme Web V2,8/6/2021,,,Critique,,"L'URL manage organisation du compte pro : https://soliguide.fr/manage-organisation/3414 
L'URL manage place de la fiche : https://soliguide.fr/manage-place/11755 
L'URL de la fiche de base sur Soliguide :  https://soliguide.fr/fiche/ccas-de-villeparisis-11755 ","Les deux personnes qui gèrent ce compte pro et donc la fiche du CCAS de Villeparisis avaient toutes les deux fait des modifications sur la fiche, avaient pensé à cliquer sur ""continuer"" ou ""enregistrer"" etc. pour la montrer à un partenaire. Arrivées devant le partenaire, elles se sont rendu compte que les informations que Murielle Lang avait ajouté n'étaient pas enregistrées... Du coup elles sont testé plusieurs choses ensemble, mais ça n'a pas fonctionné. 

Elles attendent un retour vite vite ! 

Merci pour votre travail en tout cas, vous gérez comme des ouf ! Bravo et bon courage <3",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Suzanne Danvin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rec3l3qdeehdSmXWw,"Recalibrer la mise en page pour une impression optimale ?
(Je ne sais pas si c'est un pb global ou juste avec cette personne...)",Plate-forme Web V2,7/6/2021,,,Mineur,,,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Ronan Pandaure,,,Equipe Soliguide,,/,Plate-forme Web V2,3/6/2021,,,Mineur,image.png (https://dl.airtable.com/.attachments/3664b88d90c94745774abeeae8f469f0/2ed73c53/image.png),https://soliguide.fr/fiche/action-sociale-strasbourg-2353,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,,,Equipe Soliguide,,Un affichage normal du bandeau infos temporaires,Plate-forme Web V2,3/6/2021,,,Mineur,Capture d’écran 2021-06-03 à 15.54.35.png (https://dl.airtable.com/.attachments/72189e98582b03e7fddbb350eb89474b/3b92fb79/Capturedecran2021-06-03a15.54.35.png),https://soliguide.fr/fiche/6451,Recherche de la structure via le l'url,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Luce Michel,,,Equipe Soliguide,,Que les filtres s'affichent correctement,Plate-forme Web V2,2/6/2021,,,Majeur,,"https://soliguide.fr/fiche/3753
(mais se trouve sur toutes les fiches, enfin dans le 93 en tout cas)",En me rendant sur la page d'une structure. Ce type de message s'affiche sur la page sur soliguide.fr/fiche,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Cynthia Aurévil,,,Equipe Soliguide,,Je souhaiterai que les tirets soient remplacés par des espaces. ,Base de donnée,2/6/2021,,,Négligeable,"Capture d’écran 2021-06-03 à 11_14_07.png (https://dl.airtable.com/.attachments/22cdf0980c3911bb52f43a1dd1ba27b6/7391c08c/Capturedecran2021-06-03a11_14_07.png),Capture d’écran 2021-06-02 à 11_48_04.png (https://dl.airtable.com/.attachments/e602c59672efe970ad16336d6b39fa09/ea2e7834/Capturedecran2021-06-02a11_48_04.png)",Il n'y pas de URL en particulier. Les photos sont des exemples. ,Je suis sur Mac. Je faisais une mise à jour et j'ai remarqué bug. ,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Noémie Cohen,,,Equipe Soliguide,,"Est-ce possible de synchroniser la date de mise à jour de soliguide directement comme par exemple les catégories ou ""soleil général"" ?",Plate-forme Web V2,1/6/2021,,,Critique,,,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Siurana Oliveres,Tifenn Ollivier,tifenn.ollivier@we-job.com,Association,WeJob,"Que l'association WeJob puisse apparaitre lorsqu'on cherche la catégorie ""Formation et emploi"" à Bordeaux ",Plate-forme Web V2,31/5/2021,557-Affichage de toutes les structures concernées dans la recherche,,Mineur,,"https://soliguide.fr/fiche/we-job-bordeaux-12079
https://soliguide.fr/manage-place/12079",L'administratrice du compte pro m'a fait remonter cette info par mail,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,AFL Bordeaux Nord,,Association,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recThqBVWlHw1qhSs,Accès plus simple au compte pro : parfois il y a un bug lors de la création de compte pro et c'est difficile à expliquer aux assos ,Plate-forme Web V2,31/5/2021,,,Majeur,,,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Emilie Donque,,,Equipe Soliguide,,"Avoir une concordance entre le nombre de fiches sur Soliguide et le nombre de fiches sur airtable, notamment dans l'onglet ""toutes les fiches"" sur Soliguide (manage). L'onglet 'toutes les fiches' ne montre que les fiches en ligne sur Soliguide.",Plate-forme Web V2,31/5/2021,,,Majeur,,"https://soliguide.fr/manage-place/search
",En travaillant sur soliguide,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Alice De Ronne,,,Equipe Soliguide,,"Qu'il soit écrit ""Ajoutez vos différents établissements afin de diffuser l'information sur soliguide""",Multiple,27/5/2021,,,Critique,Sans titre.png (https://dl.airtable.com/.attachments/71794ad154322f70d921901e67bf3692/c6b1dc65/Sanstitre.png),,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,Tatiana BALAN,,115,SIAO 67,"Accélérer nos efforts au sujet de la traduction, une version du site en russe (les bénéficiaires des pays de l'EST parlent pour la plupart russe) est vraiment nécessaire sur Strasbourg. L'allemand également",Multiple,27/5/2021,"452-[TRAD] Squelette en Russe,453-[TRAD] Contenu dynamique en Russe",,Majeur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,Raphaël Piedallu,raphael.piedallu@croix-rouge.fr,Bénévole,Croix Rouge 15 - Paris,A voir s'il a raison ou pas,Plate-forme Web V2,26/5/2021,,,,image.png (https://dl.airtable.com/.attachments/2db90fe110a3a178f4b4792e5d468471/2fe1fee9/image.png),,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Pierre Blanchais,,,Equipe Soliguide,,"ETQ admin soliguide, je souhaiterais pouvoir modifier les informations de tous les utilisateurs de Soliguide sans erreur",Plate-forme Web V2,26/5/2021,,,Mineur,"Capture d’écran de 2021-05-26 10-17-11.png (https://dl.airtable.com/.attachments/34cea225c435f920573a7c0ef19f0a75/490c96f0/Capturedcrande2021-05-2610-17-11.png),Capture d’écran de 2021-05-26 10-21-00.png (https://dl.airtable.com/.attachments/7e252a5593d81f0bdaee6d6bdbe42992/81bbeac9/Capturedcrande2021-05-2610-21-00.png)","Bug existant sur la prod, la preprod et en local. Je n'ai rien en console sur firefox par contre, j'ai l'erreur en pièce jointe en console au niveau de l'api",Je l'ai trouvé en voulant modifier le profil de Noémie parce qu'elle avait un bug au niveau des catégories spécifiques à filtrer pour les utilisateurs de l'API (uniquement en affichage),Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Pierre Blanchais,,,Equipe Soliguide,,"ETQ admin soliguide, je souhaiterai pouvoir modifier mon profil.",Plate-forme Web V2,26/5/2021,,,Mineur,,"Bug présent en prod, en preprod et en local",,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Cynthia Aurévil,,,Equipe Soliguide,,Comprendre d'ou vient le bug. ,App,26/5/2021,,,Critique,"Capture d’écran 2021-05-26 à 13.54.53.png (https://dl.airtable.com/.attachments/06150e841406af15c9b4e0b4ddc53257/7c9d6bce/Capturedecran2021-05-26a13.54.53.png),Capture d’écran 2021-05-26 à 13.54.33.png (https://dl.airtable.com/.attachments/8afa3899d9821875db7cfdc78f690275/44e1a1c2/Capturedecran2021-05-26a13.54.33.png)",,J'ai fait une recherche normale et j'ai constaté ce problème ,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Noémie Cohen,,,Ne sait pas,,"J'aimerais pouvoir analyser les appels à l'API des partenaires.
Pour ce faire, il faut logger l'utilisation du token ""partenaires"".
-> voir après avec Noémie pour qu'elle l'analyse",Plate-forme Web V2,26/5/2021,,,,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Charlotte Camard,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_a8f48630-4de7-4909-b0a4-678ecea7c4d3/,,Plate-forme Web V2,26/5/2021,,,Majeur,,Edge 90.0.818.66Windows 10,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Lucie Quesado,,,Equipe Soliguide,,que TOUTES les fiches apparaissent,Plate-forme Web V2,25/5/2021,,,Majeur,"1.PNG (https://dl.airtable.com/.attachments/5870da44ab5b1bbe4945711eef0b7bc4/38078443/1.PNG),2.PNG (https://dl.airtable.com/.attachments/38aacf3e3d43f9028b265776bea65cf8/876f6b92/2.PNG)",,https://soliguide.fr/manage-place/search,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,,,Equipe Soliguide,,"Que lorsqu'un utilisateur a déjà utilisé une adresse mail pour un compte pro, puisse la réutiliser pour être de nouveau invité",Plate-forme Web V2,21/5/2021,684-Inviter un utilisateur à rejoindre mon orga,,Majeur,,,,Traité,,Retour Utilisateur,,,,,14/12/2021 12:06pm,,
,Alice De Ronne,,,Equipe Soliguide,,J'aimerais qu'elles restent en ligne :),Multiple,20/5/2021,,,Critique,,,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Lucie Quesado,,,Equipe Soliguide,,"Nous aimerions qu'elles apparaissent, dans le cas de la screen ci-après ça faciliterait la lisibilité et éviterait de cliquer individuellement sur les fiches",Plate-forme Web V2,20/5/2021,"""573-Adresse dans """"gérer les structures""""""",,Négligeable,image (1).png (https://dl.airtable.com/.attachments/a9d07b36504b490c50bc6703e9107c9d/9ed9fc3a/image1.png),,,Traité,,Retour Utilisateur,,,,,14/12/2021 1:55pm,,
,Ronan Pandaure,,,Equipe Soliguide,,Que le LSF disparaisse du back office quand il n'est pas coché,Plate-forme Web V2,20/5/2021,94-Affichage LSF en front,,Négligeable,image.png (https://dl.airtable.com/.attachments/8aa171126a1d07daa9b9fa006627a664/2ab17278/image.png),https://soliguide.fr/fiche/11710,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Alexandra lefeivre,,,Equipe Soliguide,,"Avoir des résultats :)
Sans passer par une navigation privée, ni en vidant mes caches ni en changeant de moteur de recherche !",Plate-forme Web V2,19/5/2021,,,Majeur,"cap1.PNG (https://dl.airtable.com/.attachments/7d283ef1741c2b109e7711f6f0ac39a1/c9b990db/cap1.PNG),Cap2.PNG (https://dl.airtable.com/.attachments/a23152dedcbd68be4b003973a2f7cb1f/4d2e176c/Cap2.PNG)",Moteur de recherche Google ,,Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Philippe Nieto,,,Equipe Soliguide,,Trouver tous les CSC sur la page manage du Soliguide,Plate-forme Web V2,17/5/2021,,,,Bug.png (https://dl.airtable.com/.attachments/ac20f70fe32558c594ff0c4cc700ee27/ffc4d682/Bug.png),,,Traité,,,,,,,4/11/2021 12:07pm,,
,Luce Michel,,,Equipe Soliguide,,"Ce sont des activités qui n'ont pas de conditions particulières d'accès, l'onglet ""voir les modalités d'accès"" n'a pas lieu d'être, et pourrait être supprimé.",Plate-forme Web V2,17/5/2021,,,Négligeable,,"https://soliguide.fr/manage-place/4012
","En cherchant à modifier la fiche, sur ""manage-place"", j'ai découvert sur la page générale, ce lien vide dans l'onglet ""activités"" . ",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Structure de l'action sociale,étudiants à qui j'ai fait une présentation de Soliguide ,que les fiches apparaissent :),Plate-forme Web V2,17/5/2021,,,Mineur,bug protection périodique.PNG (https://dl.airtable.com/.attachments/25ccad80f09b2eb45580ddc2d2e18245/e852a743/bugprotectionpriodique.PNG),https://soliguide.fr/search/paris/protections-periodiques,"tous ceux pour qui ça ne marchaient pas étaient tous sur Chrome  Je viens d'essayer à l'instant où je fais cette remontée, il se passe la même chose donc j'ai pu prendre une capture d'écran. Ce matin le bug est arrivé entre 10h30 et 11h15 et là il se reproduit à 14h10 (je suis sur Chrome également)",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Cynthia Aurévil,,,Equipe Soliguide,,J'aimerai comprendre le bug.,App,17/5/2021,,,Négligeable,Capture d’écran 2021-05-17 à 16.01.33.png (https://dl.airtable.com/.attachments/02a444be155dc4196aa45c7adc17caf9/b568843f/Capturedecran2021-05-17a16.01.33.png),https://soliguide.fr/manage-place/modification/60a2751894f53d5ed57619a8 ,j'ai utilisé Safari et c'est un MacBook Pro de 2013 ,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Gian Barboni,Jacques Bardet,contact@mediagorabordeaux.fr,Association,GEM Médiagora,"Il faudrait que la structure soit trouvable en choisissant la catégorie ""psychologie"" à Bordeaux.",Plate-forme Web V2,17/5/2021,557-Affichage de toutes les structures concernées dans la recherche,,Majeur,"image.png (https://dl.airtable.com/.attachments/13d93271cb55bc233660249faa75503e/a736f463/image.png),image.png (https://dl.airtable.com/.attachments/805b1daab43059c01cc640ab48d23aff/cdc933f9/image.png),image.png (https://dl.airtable.com/.attachments/7e27df08a917e19b99979b4397ffa227/1a167e1c/image.png)",,"Le chargé de développement m'a signalé que lorsque l'on recherche la catégorie ""Psychologie"" à Bordeaux, l'association GEM Médiagora n'apparaît pas dans les résultats de la recherche. ",Traité,,Bug,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,Jonathan LOZACH,noelene@solinum.org,Association,Le délégué départemental du Secours Catholique du 77. Donc de la structure suivante : Délégation départementale du Secours Catholique du 77 à Meaux,"Jonathan proposait d'ailleurs de partir plutôt sur une terminologie positive, comme par exemple ""disponible"" ou ""ouvert"".",Plate-forme Web V2,17/5/2021,,,Mineur,,"C'est sur toutes les fiches, dans les infos de saturation des services ;) 



Merci pour votre travail, vous gérez du pâté ! Gros bisous ! ♥",,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Association,GEM Médiagora Bordeaux,Que ça apparaisse ,Plate-forme Web V2,14/5/2021,557-Affichage de toutes les structures concernées dans la recherche,,Majeur,,"la fiche: https://soliguide.fr/fiche/gem-mediagora-bordeaux-11216
la recherche: https://soliguide.fr/search/bordeaux/psychologie",la personne de l'asso a écrit sur crisp,Traité,,Bug,,,,,4/11/2021 12:07pm,,
"psychologie à Bordeaux, la fiche  GEM Médiagora Bordeaux n'apparaît pas ",Victoire Heymelot,,,Structure de l'action sociale,https://app.crisp.chat/website/6b9552e0-e4cd-404a-905b-215ea25692b0/inbox/session_d170ecc6-ad68-4153-b940-e1fc42ddc9bc/,j'ai déjà fait une remontée de bug spéciale pour ça,Plate-forme Web V2,14/5/2021,,,Majeur,,Safari 14.1macOS 10.15.7,déjà fait ,Traité,,Bug,,,,,23/12/2021 10:48am,,
,Victoire Heymelot,,contact@mediagorabordeaux.fr,Association,GEM Mediagora Bordeaux,Que la photo soit visible sur Soliguide ,Plate-forme Web V2,14/5/2021,11-Afficher les photos sur la vue d'une structure,,Mineur,,"https://soliguide.fr/manage-place/11216 : là on voit la photo 
https://soliguide.fr/fiche/gem-mediagora-bordeaux-11216 : plus de photo",,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Chaima Fechtali,,,Autre,,je ne  sais pas quoi faire ,App,14/5/2021,,,Majeur,,,,Traité,,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
