Nom du partenaire,Contact,Compte-rendu,Tags,Statut du partenariat,Domaine d'activité,Site,Opportunités,Adresse,Informations complémentaires,Rattachement à un partenaire national,Département (from CR),Département (from Contact),Département (from partenaires),Created
FAS Normandie,"Aurélie Moreau,Arnaud Girodon","CR  Aurélie Moreau FAS Normandie 2021-08-25T13:31:42.000Z,CR  Aurélie Moreau FAS Normandie 2021-11-08T15:09:11.000Z,""CR  Aurélie Moreau, Arnaud Girodon FAS Normandie 2021-11-22T16:42:21.000Z""",Solinum,,,,,,,,"Seine-Maritime,Seine-Maritime,Seine-Maritime",Seine-Maritime,,22/6/2021
FAS Nouvelle Aquitaine,"Grégoire Prudhon,Maëlle Le Saulnier,Valentine Chevalier",,"Soliguide,Merci pour l'invit'",En cours (contact/actions régulières),,,,,,FAS (Fédération des acteurs de la solidarité) national,,"Gironde,Gironde,Gironde",Gironde,26/11/2021
FAS occitanie,Mélodie DEPALLE,"""CR  Nathalie Bollon, Justine Labarre, Nicolas Bricas, Beaussier Françoise, Mélodie DEPALLE Conseil départemental de l'hérault (34), Supagro montpellier, CIRAD, FAS occitanie 2021-10-14T10:50:18.000Z"",CR   FAS occitanie 2021-11-03T09:58:31.000Z",Soliguide,,,,,,,,"Hérault,Hérault",,,14/10/2021
FAS PACA Corse,"Camille BERNARD,Thierry MILA","CR  Camille BERNARD FAS PACA Corse 2021-09-02T12:36:23.000Z,""CR   DDETS des Bouches-du-Rhône (13), FAS PACA Corse, DTAS (Conseil Départemental 13), DREETS PACA 2022-01-05T09:45:33.000Z""",Soliguide,,,,,,,,"Bouches-du-Rhône,Bouches-du-Rhône",,,31/8/2021
FAS Paris,Hugo ANDRIANTSEHENO,"""CR  Gabriel VISIER, Hugo ANDRIANTSEHENO FAS Paris 2021-09-23T09:30:29.000Z""",Soliguide,En cours (contact/actions régulières),,,,,,,Paris,,,23/9/2021
FEANTSA (Fédération européenne des organisations nationales travaillant avec les sans-abri),Sergio Pérez Barranco,,Solinum,,,https://www.feantsa.org/fr,,,,,,,,21/4/2021
Fédération des Centres Sociaux du Nord Pas de Calais ,"Camille Julien,Emilie Bouvier Gissot ",,,Souhaité,,,,,,,,"Nord,Nord",Nord,27/1/2022
Fédération des CSC 94,,,"Soliguide,Communication",Souhaité,,,,,,,,,Val-de-Marne,14/1/2022
Fédération des entraides protestantes (FEP),"Cécile de Clermont ,Manon Soubeyran,Guilhem Mante","""CR  Cécile de Clermont , Manon Soubeyran Fédération des entraides protestantes (FEP) 2021-07-21T15:23:30.000Z"",""CR  Cécile de Clermont , Manon Soubeyran Fédération des entraides protestantes (FEP) 2021-08-03T13:20:40.000Z"",CR  Manon Soubeyran Fédération des entraides protestantes (FEP) 2021-11-09T10:21:11.000Z,CR  Guilhem Mante Fédération des entraides protestantes (FEP) 2021-11-18T13:31:51.000Z","Co-construction,Solinum,Soliguide,Merci pour l'invit',Opérationnel",,Réseau associatif religieux,,,,,,,,,21/7/2021
Fédération du Secours populaire français 78,,,Soliguide,,,,,,,,,,,20/1/2021
Fédération Française des BDE,Benjamin Dahan,CR  Benjamin Dahan Fédération Française des BDE 2021-07-21T15:13:58.000Z,Soliguide,,,https://www.ffbde.fr/,,,,,,,,21/7/2021
Fédération nationale des CIDFF,,,"Merci pour l'invit',Orientation MPLI",,"Accès aux droits pour les femmes, de lutte contre les discriminations sexistes et de promotion de l’égalité entre les femmes et les hommes.",https://fncidff.info/,,,,,,,,3/2/2021
FESJ (fédération des espace santé jeune),Vincent Persuanne,CR  Vincent Persuanne FESJ (fédération des espace santé jeune) 2021-01-08T14:10:58.000Z,Soliguide,,,,,,,,,,,20/1/2021
FIAP - Jean Monnet,,,Locaux,,,http://www.fiap.paris/seminaires.html,,"30 rue Cabanis 75014 PARIS, FRANCE",,,,,,20/4/2021
Finansol,Finansol ,,Financeur,,,,,,,,,,,22/6/2021
Florence Guilermin,Florence Guilermin,CR  Florence Guilermin Florence Guilermin 2021-09-13T15:39:13.000Z,Solinum,,Formatrice en entreprise,,,,"Florence Guilermin nous a été mis en contact par Elsa Cardarelli, elle nous accompagne sur notre offre de formation Solinum.",,,,,13/9/2021
Fond de dotation entreprendre & plus,Félicie Goyet,,"Experts,Financeur",,,,"Fond de dotation entreprendre  & plus 2019,Entreprendre &+ post covid,Fond de dotation entreprendre  & plus 2020,Fond de dotation entreprendre  & plus 2021",,,,,,,5/3/2020
Fond Social Européen (FSE),,,Financeur,,,http://www.fse.gouv.fr/,,,,,,,,3/2/2021
Fondation Abbé Pierre,"Patrick Chassignet,Cathy Médar,Pascal Paoli",,Financeur,Contacté/ en négociation,,,,,,,,"Gironde,Gironde",,4/6/2021
Fondation Abbé Pierre (agence régionale Nouvelle-Aquitaine),Anne Marchand ,"""CR  Cathy Médar, Pascal Paoli, Anne Marchand  Fondation Abbé Pierre (agence régionale Nouvelle-Aquitaine) 2021-03-23T19:42:36.000Z"",CR   Fondation Abbé Pierre (agence régionale Nouvelle-Aquitaine) 2021-11-17T09:12:51.000Z","Merci pour l'invit',Matériel MPLI,Sortie MPLI",Contacté/ en négociation,Lutte contre le mal-logement,https://www.fondation-abbe-pierre.fr/,,,,,"Gironde,Gironde",Gironde,,3/2/2021
Fondation Accenture,,,"Mécénat/bénévolat,Experts",,,,"Up Factory 2017,up factory 2019",,,,,,,5/3/2020
Fondation Adecco,,,Financeur,,"Ressources humaines, variable chaque année",https://www.groupe-adecco.fr/fondation/,,,,,,,,18/2/2020
Fondation Afnic,Isabelle Toutaud,,"Financeur,Soliguide",,l’accompagnement des publics les plus fragiles demeure une priorité afin que l’utilisation des outils numériques soit choisie et non subie.,https://www.fondation-afnic.fr/fr/Accueil.htm,"AAP Afnic 2021,Fondation afnic,Fondation AFNIC - COVID",,,,,,,18/2/2020
Fondation Altran for innovation,,,"Financeur,Soliguide",,Promouvoir l’innovation technologique au service de l’intérêt général,http://www.portail-humanitaire.org/directory/listing/fondation-altran,Altran : mécénat de compétence,,,,,,,19/2/2020
Fondation AnBer,Fondation AnBer,,"Soliguide,Financeur",,Education Santé Travail en Hauts de France,,,,,,,,,23/6/2021
Fondation Après-Demain,Alexia Maury Segard ,"CR  Alexia Maury Segard  Fondation Après-Demain 2021-09-28T09:21:58.000Z,CR  Alexia Maury Segard  Fondation Après-Demain 2021-11-15T11:37:46.000Z","Financeur,Merci pour l'invit'",En cours (contact/actions régulières),,,Fondation Après Demain,,,,"Loire-Atlantique,Loire-Atlantique",,,21/1/2021
Fondation Audencia,,,Financeur,,,https://fondation.audencia.com/,"""Class Gift de la fondation
  Audencia""",,,Audencia,,,,3/2/2021
Fondation Batigère,"Marjorie CHEVALLEY,Laurent L’HOMEL  ",,"Financeur,Soliguide",,"projets d’égalité des chances et de lien social (accès à la connaissance, vie de quartier, insertion et intégration, solidarité) portés par des associations à but non lucratif ",www.fondation-batigere.fr,Appel à projet Fondation Batigère,,,,,,,18/2/2020
Fondation Bettencourt Schueller,,,Financeur,,,,,,,,,,,5/3/2020
Fondation BNP,Perrine Tesse,,Financeur,,"culture, solidarité, environnement",https://group.bnpparibas/decouvrez-le-groupe/fondation-bnp-paribas,"Fondation BNP 2020,Projet Banlieues - Bordeaux 2021,Projet Banlieues - Bordeaux 2022,Projet Banlieues - Bordeaux 2023,Fondation BNP 2021,Fondation BNP 2022",,,,,,,23/3/2020
Fondation Bouygues Télecom,"Bérénice Broutin,Contact,Amélie VILAINE ,Sarah Alezrah",CR  Amélie VILAINE  Fondation Bouygues Télecom 2021-06-03T09:02:23.000Z,"Financeur,Mécénat/bénévolat,Soliguide",,"SOLIDARITÉ AVEC LES PLUS FRAGILES, LUTTE CONTRE L’ILLETTRISME ET L’EXCLUSION NUMERIQUE   ",https://projets.fondation.bouyguestelecom.fr/fr/,"""Fondation Bouygues Télécom -
  appel a projet client"",Fondation Bouygues Telecom 2020 ,Fondation Bouygues Télécom",,,,,,,18/2/2020
Fondation Brageac,,,"Financeur,Soliguide",,,,"Fondation Brageac 2020,Fondation Brageac 2019",,,,,,,1/2/2021
Fondation caisse d'épargne,"Béatrice Desforges,CEACP",,Financeur,, L’intégration socio-professionnelle des personnes fragilisées  ,https://www.caisse-epargne-loirecentre.fr/fondation-entreprise,,,,,,,,18/2/2020
Fondation Caisse de Dépôts et   Consignations ( CDC de Bordeaux),"Audrey Moizan,Virginie Minciotti","""CR  Guillaume Cherel, Audrey Moizan Bordeaux Métropole, Fondation Caisse de Dépôts et   Consignations ( CDC de Bordeaux) 2021-07-10T11:56:12.000Z""",Financeur,,,,"""Fondation Caisse de Dépôts et
  Consignations ( CDC de Bordeaux)""",,,,,,,5/3/2020
Fondation Caritas,"Marie-Hélène Chênebeau ,Laura Liguori,Jean-Marie Destrée","""CR  Laura Liguori, Jean-Marie Destrée Fondation Caritas 2021-04-22T14:21:50.000Z"",CR   Fondation Caritas 2021-06-28T10:09:41.000Z",Financeur,,,https://www.fondationcaritasfrance.org/,Fondation Caritas - COVID,,,,,,,3/2/2021
Fondation Cassiopée ,Contact,,Financeur,,,http://fondationcassiopee.org/fr/proposer-un-projet,Fondation Cassiopée,,,,,,,2/7/2020
Fondation Cos - Cos Quancard,"Stéphanie Mariana,Marion Brossard","CR  Marion Brossard Fondation Cos - Cos Quancard 2021-11-17T09:04:17.000Z,CR   Fondation Cos - Cos Quancard 2021-11-17T09:10:35.000Z","Merci pour l'invit',Orientation MPLI",En cours (contact/actions régulières),Demandeurs d'asile,https://www.fondationcos.org/nos-etablissements?field_region_target_id=All&field_type_d_etablissement_target_id=6,,,,,"Gironde,Gironde","Gironde,Gironde",,19/3/2021
Fondation Crédit Agricole Solidarité et Développement,,,Financeur,,,,"""Réinventons, ensemble les parcours de santé""",,,,,,,7/10/2020
Fondation Crédit Coopératif,Jacky DORNET,,Financeur,,"Prospective ESS, Initiatives locales, Essaimage",https://fondation.credit-cooperatif.coop/,Prix de l'initiative de l'ESS,,,,,,,28/1/2020
Fondation de France,"Patrick CIEUTAT ,Guy THOMAS",CR  Guy THOMAS Fondation de France 2021-05-12T08:02:47.000Z,"Financeur,Soliguide,Merci pour l'invit',Autre",,Fondation de toutes les causes,https://www.fondationdefrance.org/fr,Fondation de France Mécanique des idées - Appel à idées et à projets sur le territoire de Mulhouse et son agglomération en 2021,,,,Loire-Atlantique,,,3/6/2020
Fondation Deloitte,Fondation Deloitte,,Financeur,,,,,,,,,,,23/6/2021
Fondation des épiniers,Nicolas Poncin,,Financeur,,"Développement, exclusion",https://www.fondationcaritasfrance.org/fondations/fondation-des-epiniers/,Fondation des épiniers - Covid,,,,,,,24/4/2020
Fondation des femmes,Fondation des femmes,,Financeur,,,,,,,,,,,23/6/2021
Fondation du Lucq,François DUFOURCQ,CR  François DUFOURCQ Fondation du Lucq 2021-04-30T12:38:01.000Z,Financeur,,,https://www.fondationdefrance.org/fr/fondation/fondation-du-lucq,"Fondation Lucq,Fondation du lucq 2020",,,,,,,3/2/2021
Fondation EDF,"Sophie Jourdin,Sophie Jourdain","CR  Sophie Jourdin Fondation EDF 2021-01-11T14:15:04.000Z,CR  Sophie Jourdin Fondation EDF 2021-05-20T14:54:20.000Z,""CR  Sophie Jourdin, Guilhem Menard Fondation EDF, ShareIT 2021-07-10T11:41:14.000Z""","Financeur,Soliguide",,"Environnement, education, inclusion",https://fondation.edf.com/,"Fondation EDF 2021,Trophées des associations fondation EDF 2018",,,,,,,19/2/2020
Fondation EGIS,Fondation EGIS,,Financeur,,,,,,,,,,,23/6/2021
Fondation EIG,Amélie Gervais,,Financeur,,,,"Fondation EIG,Fondation EIG 2020,Fond de dotation EIG",,,,,,,5/3/2020
Fondation ELLE,,,"Financeur,Merci pour l'invit'",,« CO-CONSTRUIRE AVEC LES FEMMES DE LA RUE »,https://ellefondation.elle.fr/,Fondation Elle,,,,,,,18/2/2020
Fondation Engagement Médias pour les Jeunes,,,Financeur,,,,Fondation Engagement Médias pour les Jeunes,,,,,,,5/3/2020
Fondation Entreprendre,Fondation Entreprendre,,Financeur,,,,,,,,,,,22/6/2021
Fondation EPIC,Jason MOUSSET,,Financeur,,,,,,,,,,,21/7/2020
Fondation FACE,Contact,,"Financeur,Soliguide",,Fondation Agir Contre l'Exclusion + vie de quartier,https://www.fondationface.org/,Concours S'engager pour les quartiers,,,,,,,18/2/2020
Fondation France Télévision,"Contact,Contact,Marion NAUMANN",,"Soliguide,Communication,Financeur",,,,"AAP Ma Parole!,Fondation france télévision ",,,,,,,18/2/2020
Fondation Frédéric Ozanam,,,Financeur,,,https://www.fondationfredericozanam.org/,Fondation ozanam,,,,,,,3/2/2021
Fondation Free,,,Financeur,,Accès au numérique,https://www.fondation-free.fr/,"Fondation free 2020,Fondation Free",,,,,,,23/3/2020
Fondation General Mills,,,Financeur,,Renforcer les communautés,https://www.generalmills.com/Responsibility/general-mills-foundation,Trophées perle de lait,,,,,,,18/2/2020
Fondation groupe primonial,,CR  Federica Pavani Fondation groupe primonial 2021-04-23T14:16:08.000Z,Financeur,,,https://www.fondationprimonial.fr/,AAP Fondation Groupe Primonial PACA 2021,,,,,,,23/4/2021
Fondation Hospitalière pour la Recherche sur la Précarité et l'Exclusion sociale ,Alexandre Martini,CR  Alexandre Martini Fondation Hospitalière pour la Recherche sur la Précarité et l'Exclusion sociale  2022-01-03T13:35:34.000Z,"Solinum,Financeur,Partenariat souhaité,Experts",Contacté/ en négociation,Recherche ,http://www.fondation-recherche-precarite.org/,,,,,,,,3/1/2022
Fondation Îlot Avenir,,,Financeur,,,https://www.ilot.asso.fr/association-nous-connaitre/ilot-avenir/,Fondation l’îlot,,,,,,,3/2/2021
Fondation Indosuez,"Fondation Indosuez,	 Barbara COZON,Raphaël de Valence,Benoit Bourdin","CR  	 Barbara COZON Fondation Indosuez 2021-05-20T14:23:22.000Z,""CR  Raphaël de Valence, Benoit Bourdin Fondation Indosuez 2021-12-13T17:49:28.000Z"",CR  	 Barbara COZON Fondation Indosuez 2022-01-05T21:54:13.000Z",Financeur,,"Personnes fragilisées (âgées, handicapées, addictions et conduites à risque), cohésion",http://www.ca-indosuez.com/,Fondation Indosuez,,,,,,,20/5/2021
Fondation Jérôme Gayet,Fondation Jérome Gayet,CR   Fondation Jérôme Gayet 2021-11-17T16:26:12.000Z,Financeur,,,https://www.jeromegayet.org/,,Le Hub - 45/1 Avenue de Flandre - 59290 Wasquehal,,,Nord,,,22/6/2021
Fondation La France s'engage,Enora Hamon,CR  Enora Hamon Fondation La France s'engage 2021-02-16T14:44:10.000Z,Financeur,,L’innovation sociale et les technologies au service de la cohésion et de la solidarité. ,https://fondationlafrancesengage.org/,La france s'engage 2020,,,,,,,23/3/2020
Fondation Le Conservateur,Secrétariat - Fondation Le conservateur,,Financeur,,"La Fondation d’entreprise Le Conservateur soutient uniquement des projets d’intérêt général portés par des structures à but non lucratif. Ces projets doivent concerner l’un des domaines d’action de la Fondation (l’accès à l’éducation, à la culture, à l’insertion sociale, à la santé, au handicap, l’aide à des actions concrètes nationales ou locales …).",https://www.conservateur.fr/nous-connaitre/nos-engagements/,Fondation le conservateur 2021,,,,,,,10/6/2021
Fondation Legallais,,,"Merci pour l'invit',Financeur",,"Un toit, un emploi pour les plus demunis",http://www.fondation-legallais.org/,"Fondation Legallais Sept 2018,Fondation Legallais Janv 2018,Fondation Legallais Mars 2021,Fondation Legallais - Mars 2022",,,,,,,19/2/2020
Fondation Lescuyer,Fondation Lescuyer,,Financeur,,"La Fondation  d’Entreprise Laboratoire LESCUYER a hérité de son entreprise fondatrice, sa volonté d’agir. Elle est donc partenaire d’associations porteuses de projets qui répondent à des valeurs qui sont depuis toujours au cœur Les actions de la fondationdes préoccupations du Laboratoire :  S’engager pour la santé de chacun Préserver la Nature et l’Environnement Permettre l’accès à l’éducation et à la Formation S’investir dans des projets solidaires Soutenir la Recherche et le Développement",https://fondation.laboratoire-lescuyer.com/les-actions,AAP permanent - Fondation d'entreprise Laboratoire Lescuyer,,,,,,,10/6/2021
Fondation Lush,,,"Financeur,Merci pour l'invit'",,,,"Lush,Lush - Charity Pot",,,,,,,5/3/2020
Fondation Macif,"Martine Fournier,Edith Levy,Françoise Lareur",,Financeur,A relancer,"Mobilité, Santé, Habitat, Finance solidaire",https://www.fondation-macif.org/,"Fondation MACIF 2018,""Fondation MACIF - pays de la
  loire"",Fondation Macif ,Fondation MACIF",,,,,,,21/7/2017
Fondation Monoprix,Isabelle Boudard,CR  Isabelle Boudard Fondation Monoprix 2022-01-14T14:59:36.000Z,Financeur,Terminé,"Lutte contre l'exclusion, action au coeur de la ville, pour aider les plus démunis",http://www.fondationmonoprix.fr/,"Fondation Monoprix 2020,Fondation Monoprix - Ulule",,,,,,,23/3/2020
Fondation Nexity,"Anne Carole​ CROISET,Marina​ GARNIER ",,Financeur,,"Insertion: logement, formation, emploi",https://fondation-nexity.org/,"Fondation Nexity,Fondation Nexity,Fondation Nexity - AAP Insertion sociale par le logement",,,,,,,23/3/2020
Fondation Norsys,Michèle BUINET,,Financeur,En cours (contact/actions régulières),Préservation de la planète et réduction des injustices sociales,https://fondation.norsys.fr/,Trophées de la Fondation Norsys,,,,,Loire-Atlantique,,2/12/2021
Fondation Orange,,,"Soliguide,Financeur",,Le numérique solidaire,https://www.fondationorange.com/,Fondation orange nouvelle aquitaine 2018,,,,,,,18/2/2020
Fondation Pierre et Vacances,,,Financeur,,,,Fondation Pierre et Vacances,,,,,,,5/3/2020
Fondation Prairial,,,Financeur,,,https://www.prairial.org/,Fondation Prairial (du Luxembourg) post-covid,,,,,,,3/2/2021
Fondation PSA,,,"Financeur,Soliguide",,,,Fondation PSA,,,,,,,5/3/2020
Fondation Pwc,Fiona Arpaillange,,Financeur,,Impact positif et durable sur la societe,https://fondation.pwc.fr/,"Prix let's go france PWC  2020,Prix let's go france PWC",,,,,,,19/2/2020
Fondation RTE,"Agathe Guilbart,Elodie Rolland,Elodie ROLLAND",CR  Elodie ROLLAND Fondation RTE 2021-06-21T17:36:26.000Z,"Solinum,Financeur,Experts",,Développement de la ruralité,https://www.fondation-rte.org/,,,,,,,,21/6/2021
Fondation Sainte Geneviève,"Aurore de La Selle,Virginie Angles d'Auriac,Léa Prouha",CR  Léa Prouha Fondation Sainte Geneviève 2022-01-24T15:10:31.000Z,"Communication,Financeur",En cours (contact/actions régulières),"Lutte contre la précarité, Insertion professionnelle et emploi, Aide aux personnes handicapées, malades ou âgées, Familles, jeunes, éducation, Patrimoine, art et culture.",https://fondationsaintegenevieve.org/,"Le Parvis Solidaire - Fondation Sainte-Geneviève,Fondation sainte geneviève - COVID,Appel à projet - Parvis Solidaire,Fondation Sainte Genevieve",,"13.01.22 (sr) email de relance à Aurore et Virginie, suite à la mise en relation faite par Victoria en décembre dernier. proposition de rencontre et d'échange pour les tenir à jour du projet MPLI dans les Hauts-de-Seine
20.01.22 (sr) Retour de Léa, elle me propose plusieurs créneaux de rencontre en visio, je lui réponds dans la foulée, lui confirme ma dispo le lundi 24 janvier à 14h30, lui envoie un lien Google meet et une invitation agenda. l'échange est booké sur Agenda. elle me remercie et accuse réception du lien qques minutes après. tout est OK.",,Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine,28/1/2020
Fondation Sanofi,,,Financeur,,,https://www.fondation-sanofi-espoir.com/fr,Fondation Sanofi - COVID,,,,,,,3/2/2021
Fondation SAP,Cidjy Anton,CR  Cidjy Anton Fondation SAP 2021-05-11T14:56:31.000Z,Solinum,,Champ social et éducatif,https://www.fondationdefrance.org/fr/fondation/fondation-sap-france,,,,,,,,11/5/2021
Fondation Société Générale,,,Financeur,,Souteir l'insertion professionnelle et l'éducation des publics en difficuté,https://fondation-solidarite.societegenerale.com/fr,"Fondation société générale 2020,Fondation Société Générale",,,,,,,23/3/2020
Fondation Somfy ,Barbara Pochat,CR   Fondation Somfy  2021-06-17T15:31:14.000Z,Merci pour l'invit',,Habitat,https://www.fondation-somfy.com/fr-fr/,,,,,,,,17/6/2021
Fondation Sopra Steria,"Dominique Lambert,Contact,Dominique Lambert,Stéphanie Sgambuzzi","""CR  Dominique Lambert, Julie Kieffer, Guilhem Menard Fondation Sopra Steria, ShareIT 2021-02-05T13:38:50.000Z""","Mécénat/bénévolat,Financeur,Soliguide",,,,Fondation sopra steria,,,,,,,5/3/2020
Fondation Terre Plurielle (bouygues construction),"Manon Ruano-Martin,Diane André",,Financeur,,"l'emploi, l'éducation, la santé, la lutte contre la précarité",https://projets.terreplurielle.org/fr/,"""Fondation terre plurielle
  (bouygues)""",,,,,,,18/2/2020
Fondation UP,Unnamed record,,"Financeur,Merci pour l'invit'",,,,Fondation Up,,,,,,,5/3/2020
Fondation Veolia,"Clara Bercovici,Isabelle VULLIEZ  ",,"Financeur,Soliguide",,développement et insertion par des associations étudiantes,https://www.fondation.veolia.com/fr,"Fondation Veolia covid,Veolia prix de la solidarité  étudiante 2018,Veolia 2 - 92,Veolia 2 - 94,Etude Veolia 1,Veolia 2 - Etude",,,,,,,19/2/2020
Fondation Vinci,"Marie-Charlotte Guénard,Julie Simon",,"Financeur,Soliguide,Merci pour l'invit',Mécénat/bénévolat",,"AGIR EN VILLE, INSÉRER DES PERSONNES, PARTAGER NOS SAVOIR-FAIRE",https://www.fondation-vinci.com/fondation/fr/page/index.htm,"Fondation Vinci 2017,Fondation Vinci 2020,Fondation VINCI - covid",,,,,,,19/2/2020
Fonds de dotation Barreau de Paris Solidarité,Théodore Malgrain,,Financeur,,,https://www.barreausolidarite.org/,Appel à Projets 2021 du Fonds de dotation Barreau de Paris Solidarité APPUI AUX ACTIONS ASSOCIATIVES VISANT A PROTEGER ET DEFENDRE DURABLEMENT L’ACCES AU DROIT DES 16/25 ANS EN SITUATION DE VULNERABILITE ET DE PRECARITE,,,,,,,20/5/2021
FORS Recherche sociale,Juliette BARONNET,CR  Juliette BARONNET FORS Recherche sociale 2021-06-04T14:46:35.000Z,"Soliguide,Co-construction,Opérationnel",,Recherche sociale,https://www.fors-rs.com/,,,,,Val-d'Oise,,,4/6/2021
Forum jorge françois,"Pourbaix Martin,Laurent Delpiano","""CR  Pourbaix Martin, Laurent Delpiano Forum jorge françois 2021-07-14T15:53:12.000Z""",Soliguide,,,,,,,,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,14/7/2021
Foyer Fraternel,,,"Merci pour l'invit',Opérationnel",En cours (contact/actions régulières),,http://www.centresocial-foyerfraternel.fr,,,,,,,,16/4/2021
Foyer Fraternel,Pauline Roux,,"Merci pour l'invit',Orientation MPLI",En cours (contact/actions régulières),Centre social ,https://www.centresocial-foyerfraternel.fr/,,"6 Rue Gouffrand, 33300 Bordeaux",,,,Gironde,,4/11/2021
France Digitale,,,Solinum,,,https://francedigitale.org/,,,,,,,,15/4/2021
France IOI,Mathias Hiron,CR  Mathias Hiron France IOI 2021-11-23T14:03:15.000Z,Partenariat souhaité,,Inclusion numérique des jeunes,,,,,,,,,23/11/2021
France Terre d'Asile,"Emmanuel RABOURDIN,Clara Zempleni,Antoine Mayrand","CR  Emmanuel RABOURDIN France Terre d'Asile 2021-02-10T13:55:24.000Z,CR  Emmanuel RABOURDIN France Terre d'Asile 2021-03-04T13:11:06.000Z,""CR  Clara Zempleni, Antoine Mayrand France Terre d'Asile 2022-01-26T14:56:13.000Z""","Soliguide,Communication,Opérationnel",,Soliguide,,,,,,,,,10/2/2021
Fraternité de la Belle de Mai,"Pierre-Olivier Dolino,Michel FAURE","""CR  Axelle Cuny, Arnaud Pavy, Pierre-Olivier Dolino, Michel FAURE Action contre la faim France, Fraternité de la Belle de Mai 2021-09-15T17:01:15.000Z""",Soliguide,,,,,,,,Bouches-du-Rhône,,,23/6/2021
Frello,Joaline Fournier,CR  Joaline Fournier Frello 2021-12-15T10:32:36.000Z,Autre,Non souhaité,Entreprise plateforme pédagogique pour l'apprentissage du français payante ,https://www.frello.fr/qui-sommes-nous,,,,,Paris,,,15/12/2021
Friche la Belle de Mai,Lisa BIRGAND,,Soliguide,,Action culturelle,https://www.lafriche.org/,,,,,,,,30/9/2021
"Galice (pole logement, coordination SIAO)",Sabine Charondière,"""CR  Sabine Charondière """"Galice (pole logement, coordination SIAO)"""" 2021-11-08T15:15:57.000Z""",Soliguide,Contacté/ en négociation,Hebergement et logement d'urgence et d'insertion,,,Nice,,,Alpes-Maritimes,Alpes-Maritimes,Alpes-Maritimes,8/11/2021
Giveats,"Anaïs Ferrández,Roméo Bernard","""CR  Anaïs Ferrández, Roméo Bernard Giveats 2021-08-20T14:57:02.000Z""","Communication,Autre",,Startup sociale,https://giveats.fr/,,,,,Paris,,,20/8/2021
GLAD (guide local d'accès aux droits) - collectif d'acteurs du territoires à marseille,,,Soliguide,,,,,,,,,,,10/6/2021
Goodeed,,,Financeur,En cours (contact/actions régulières),Micro-dons,https://www.goodeed.com/,,,"Site de micro dons pour les particuliers
Nous avons signé un partenariat avec eux en novembre 2021.",Goodeed,,,,1/12/2021
Grand EST,,,Financeur,,,https://www.grandest.fr/vos-aides-regionales/ge-initiatives-territoriales/,"GRAND EST – appel à manifestation d'intérêt Initiatives Territoriales ,Emploi associatif",,,,,,,2/7/2020
Grand Orly Seine Bièvre (EPT 94),,,"Soliguide,Co-construction",En cours (contact/actions régulières),,https://www.grandorlyseinebievre.fr/,,,CR RDV ici : https://airtable.com/appsLJJwfdueN9xqD/tbl4TlB0hec1uTyzI/viwxDbTJkDzt00tZP/recxsdKGIc5VfmZof?blocks=hide,,,,Val-de-Marne,19/10/2021
Grand Paris Sud Est Avenir (EPT 94),,,"Soliguide,Co-construction",Contacté/ en négociation,Insertion socio-pro,https://sudestavenir.fr/,,,CR RDV ici : https://airtable.com/appsLJJwfdueN9xqD/tbl4TlB0hec1uTyzI/viwxDbTJkDzt00tZP/rec1IBRM3DH4T9JQV?blocks=hide,,,,Val-de-Marne,14/1/2022
Grand prix ID,,,"Financeur,Soliguide",,Innovation digitale,http://grandprix-id.com/,ID2021 by petit web  ,,,,,,,18/2/2020
Groupe de travail femmes en errance,,"CR   Groupe de travail femmes en errance 2021-04-23T14:52:38.000Z,CR   Groupe de travail femmes en errance 2021-06-14T07:22:53.000Z,CR   Groupe de travail femmes en errance 2021-11-29T16:39:44.000Z,CR   Groupe de travail femmes en errance 2021-11-29T16:46:25.000Z",Merci pour l'invit',En cours (contact/actions régulières),Femmes en errance ,,,,,,"Gironde,Gironde,Gironde,Gironde",,,23/4/2021
Groupe SOS,Antoine Boivin,CR  Antoine Boivin Groupe SOS 2021-02-05T09:35:41.000Z,"Solinum,Communication,Opérationnel",Contacté/ en négociation,,,,,,,"Gironde,Loire-Atlantique,Alpes-Maritimes,Paris,Yvelines,Val-de-Marne,Val-d'Oise,Hauts-de-Seine,Seine-Saint-Denis",,,5/2/2021
H24 INCUBATEUR,Yohann Couvant,,,Souhaité,Incubateur - Coworking ,https://www.incubateur-h24.fr/,,18 rue Ernest Guillier 24000 Périgueux,,,,,Dordogne,24/1/2022
Hacktiv,"Sophie Hivert,Sébastien Falque","""CR  Sophie Hivert, Sébastien Falque Hacktiv 2021-09-22T12:00:13.000Z""",,,,,,,,,,,,22/9/2021
HAFB (Halte Aide aux Femmes Battues) ,"ANDREOTTI Florie,Joanna MARIE ROSE",,Orientation MPLI,,Accompagnement & mise à l'abri femmes victimes de violences conjugales,https://hafb.fr/,,14 rue Mendelssohn 75020 Paris (Foyer Louise Labé),,,,"Paris,Paris",,2/11/2021
Harmonie Mutuelle,"Fondation Harmonie Mutuelle (adresse générique),Corinne Grandjean,Jacky CORDUAN",CR  Jacky CORDUAN Harmonie Mutuelle 2021-10-19T16:20:14.000Z,Financeur,Contacté/ en négociation,,,Harmonie Mutuelle,,,,Loire-Atlantique,,,12/10/2021
